tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-06,5136,8011740,1.85,2
2017-01-20,5136,8011740,0.93,1
2017-02-01,5136,8011740,4.63,5
2017-02-02,5136,8011740,6.48,7
2017-02-03,5136,8011740,0.93,1
2017-02-04,5136,8011740,4.63,5
2017-02-05,5136,8011740,4.63,5
2017-02-06,5136,8011740,4.63,5
2017-02-08,5136,8011740,1.85,2
2017-02-09,5136,8011740,0.93,1
2017-02-10,5136,8011740,0.93,1
2017-02-11,5136,8011740,3.71,4
2017-02-12,5136,8011740,4.63,5
2017-02-13,5136,8011740,6.48,7
2017-02-14,5136,8011740,1.85,2
2017-02-15,5136,8011740,4.63,5
2017-02-16,5136,8011740,1.86,2
2017-02-17,5136,8011740,2.78,3
2017-02-18,5136,8011740,3.7,4
2017-02-19,5136,8011740,9.28,10
2017-02-20,5136,8011740,4.64,5
2017-02-21,5136,8011740,3.72,4
2017-02-22,5136,8011740,2.78,3
2017-02-23,5136,8011740,4.63,5
2017-02-24,5136,8011740,7.4,8
2017-02-25,5136,8011740,4.63,5
2017-02-26,5136,8011740,3.7,4
2017-02-27,5136,8011740,1.86,2
2017-03-01,5136,8011740,1.85,2
2017-03-02,5136,8011740,0.93,1
2017-03-03,5136,8011740,0.93,1
2017-03-04,5136,8011740,7.41,8
2017-03-05,5136,8011740,7.41,8
2017-03-06,5136,8011740,5.56,6
2017-03-07,5136,8011740,1.86,2
2017-03-08,5136,8011740,6.48,7
2017-03-09,5136,8011740,0.93,1
2017-03-16,5136,8011740,0.93,1
2017-03-18,5136,8011740,0.93,1
2017-03-19,5136,8011740,3.7,4
2017-03-20,5136,8011740,2.78,3
2017-03-21,5136,8011740,2.78,3
2017-03-22,5136,8011740,4.63,5
2017-03-24,5136,8011740,0.93,1
2017-03-26,5136,8011740,1.85,2
2017-03-27,5136,8011740,0.93,1
2017-03-28,5136,8011740,2.79,3
2017-03-29,5136,8011740,1.85,2
2017-03-30,5136,8011740,1.85,2
2017-03-31,5136,8011740,4.63,5
2017-04-01,5136,8011740,0.93,1
2017-04-02,5136,8011740,5.56,6
2017-04-03,5136,8011740,0.93,1
2017-04-04,5136,8011740,0.93,1
2017-04-05,5136,8011740,0.93,1
2017-04-06,5136,8011740,1.85,2
2017-04-08,5136,8011740,8.35,9
2017-04-09,5136,8011740,4.63,5
2017-04-10,5136,8011740,0.93,1
2017-04-11,5136,8011740,1.85,2
2017-04-12,5136,8011740,2.78,3
2017-04-13,5136,8011740,0.93,1
2017-04-14,5136,8011740,8.34,9
2017-04-15,5136,8011740,2.78,3
2017-04-16,5136,8011740,2.78,3
2017-04-19,5136,8011740,9.26,10
2017-04-20,5136,8011740,5.56,6
2017-04-21,5136,8011740,1.86,2
2017-04-22,5136,8011740,2.78,3
2017-04-23,5136,8011740,1.86,2
2017-04-24,5136,8011740,1.85,2
2017-04-25,5136,8011740,4.63,5
2017-04-26,5136,8011740,3.71,4
2017-05-25,5136,8011740,4.17,5
2017-05-26,5136,8011740,3.34,4
2017-05-27,5136,8011740,4.17,5
2017-05-28,5136,8011740,1.67,2
2017-05-29,5136,8011740,2.5,3
2017-05-30,5136,8011740,0.83,1
2017-05-31,5136,8011740,3.33,4
2017-06-01,5136,8011740,4.16,5
2017-06-02,5136,8011740,5.0,6
2017-06-03,5136,8011740,2.5,3
2017-06-05,5136,8011740,1.67,2
2017-06-06,5136,8011740,0.83,1
2017-06-07,5136,8011740,4.16,5
2017-06-09,5136,8011740,0.83,1
2017-06-10,5136,8011740,5.01,6
2017-06-11,5136,8011740,0.83,1
2017-06-15,5136,8011740,0.83,1
2017-07-12,5136,8011740,2.32,2
2017-07-13,5136,8011740,16.2,14
2017-07-14,5136,8011740,9.26,8
2017-07-15,5136,8011740,5.79,5
2017-07-16,5136,8011740,11.56,10
2017-07-17,5136,8011740,12.73,11
2017-07-18,5136,8011740,4.62,4
2017-07-19,5136,8011740,4.63,4
2017-07-20,5136,8011740,17.36,15
2017-07-21,5136,8011740,5.8,5
2017-07-22,5136,8011740,9.26,8
2017-07-23,5136,8011740,2.32,2
2017-07-24,5136,8011740,3.48,3
2017-07-25,5136,8011740,1.16,1
2017-07-26,5136,8011740,12.73,11
2017-07-27,5136,8011740,11.56,10
2017-07-29,5136,8011740,8.09,7
2017-07-30,5136,8011740,3.48,3
2017-07-31,5136,8011740,12.73,11
2017-08-01,5136,8011740,10.41,9
2017-08-02,5136,8011740,25.46,22
2017-08-03,5136,8011740,9.27,8
2017-08-04,5136,8011740,8.09,7
2017-08-05,5136,8011740,9.26,8
2017-08-06,5136,8011740,2.32,2
2017-08-07,5136,8011740,5.8,5
2017-08-08,5136,8011740,8.1,7
2017-08-09,5136,8011740,5.78,5
2017-08-10,5136,8011740,12.73,11
2017-08-15,5136,8011740,1.16,1
2017-08-16,5136,8011740,2.31,2
2017-08-17,5136,8011740,8.11,7
2017-08-18,5136,8011740,5.8,5
2017-08-20,5136,8011740,9.25,8
2017-08-21,5136,8011740,3.47,3
2017-08-22,5136,8011740,6.93,6
2017-08-24,5136,8011740,3.48,3
2017-08-25,5136,8011740,3.47,3
2017-08-26,5136,8011740,1.16,1
2017-08-27,5136,8011740,3.48,3
2017-08-29,5136,8011740,3.48,3
2017-08-30,5136,8011740,5.79,5
2017-08-31,5136,8011740,9.25,8
2017-09-01,5136,8011740,11.57,10
2017-09-02,5136,8011740,12.73,11
2017-09-03,5136,8011740,3.47,3
2017-09-04,5136,8011740,1.16,1
2017-09-05,5136,8011740,2.32,2
2017-09-06,5136,8011740,1.16,1
2017-09-07,5136,8011740,5.78,5
2017-09-08,5136,8011740,5.79,5
2017-09-09,5136,8011740,9.24,8
2017-09-10,5136,8011740,9.25,8
2017-09-11,5136,8011740,8.11,7
2017-09-12,5136,8011740,9.27,8
2017-09-13,5136,8011740,9.26,8
2017-09-14,5136,8011740,10.41,9
2017-09-15,5136,8011740,16.2,14
2017-09-16,5136,8011740,4.63,4
