tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-03,2189,8011605,3.01,1
2017-01-05,2189,8011605,3.47,1
2017-01-13,2189,8011605,10.42,3
2017-01-14,2189,8011605,6.94,2
2017-01-17,2189,8011605,3.47,1
2017-01-20,2189,8011605,3.01,1
2017-01-21,2189,8011605,6.02,2
2017-01-23,2189,8011605,6.02,2
2017-01-24,2189,8011605,3.01,1
2017-01-25,2189,8011605,6.02,2
2017-01-26,2189,8011605,3.01,1
2017-01-27,2189,8011605,3.01,1
2017-01-28,2189,8011605,3.47,1
2017-01-29,2189,8011605,9.03,3
2017-02-01,2189,8011605,9.49,3
2017-02-02,2189,8011605,17.36,5
2017-02-03,2189,8011605,3.47,1
2017-02-05,2189,8011605,6.94,2
2017-02-07,2189,8011605,6.94,2
2017-02-09,2189,8011605,3.47,1
2017-02-11,2189,8011605,6.94,2
2017-02-12,2189,8011605,3.47,1
2017-02-13,2189,8011605,41.66,12
2017-02-16,2189,8011605,20.83,6
2017-02-26,2189,8011605,6.94,2
2017-02-28,2189,8011605,3.47,1
2017-03-04,2189,8011605,3.01,1
2017-03-05,2189,8011605,9.03,3
2017-03-06,2189,8011605,3.01,1
2017-03-08,2189,8011605,3.01,1
2017-03-09,2189,8011605,3.01,1
2017-03-10,2189,8011605,6.02,2
2017-03-12,2189,8011605,3.01,1
2017-03-13,2189,8011605,6.48,2
2017-03-14,2189,8011605,3.01,1
2017-03-15,2189,8011605,6.48,2
2017-03-18,2189,8011605,3.47,1
2017-03-19,2189,8011605,13.88,4
2017-03-25,2189,8011605,6.94,2
2017-03-26,2189,8011605,3.47,1
2017-03-27,2189,8011605,3.47,1
2017-03-29,2189,8011605,3.47,1
2017-04-01,2189,8011605,3.47,1
2017-04-02,2189,8011605,12.04,4
2017-04-03,2189,8011605,6.02,2
2017-04-08,2189,8011605,15.05,5
2017-04-09,2189,8011605,9.49,3
2017-04-11,2189,8011605,9.03,3
2017-04-14,2189,8011605,8.33,3
2017-04-15,2189,8011605,2.78,1
2017-04-17,2189,8011605,2.78,1
2017-04-19,2189,8011605,5.56,2
2017-04-21,2189,8011605,6.94,2
2017-04-22,2189,8011605,3.47,1
2017-04-23,2189,8011605,6.94,2
2017-04-30,2189,8011605,7.32,2
2017-05-01,2189,8011605,3.66,1
2017-05-03,2189,8011605,3.66,1
2017-05-07,2189,8011605,7.32,2
2017-05-13,2189,8011605,3.66,1
2017-05-14,2189,8011605,18.29,5
2017-05-17,2189,8011605,3.66,1
2017-05-18,2189,8011605,3.66,1
2017-05-19,2189,8011605,14.63,4
2017-05-20,2189,8011605,3.66,1
2017-05-21,2189,8011605,25.61,7
2017-05-23,2189,8011605,3.66,1
2017-05-25,2189,8011605,3.66,1
2017-05-27,2189,8011605,18.29,5
2017-05-28,2189,8011605,10.98,3
2017-05-30,2189,8011605,3.66,1
2017-05-31,2189,8011605,3.66,1
2017-06-01,2189,8011605,10.98,3
