tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2018-01-01,3328,8010701,6.93,3
2018-01-02,3328,8010701,11.56,5
2018-01-03,3328,8010701,9.24,4
2018-01-04,3328,8010701,11.55,5
2018-01-05,3328,8010701,4.62,2
2018-01-06,3328,8010701,18.48,8
2018-01-07,3328,8010701,23.1,10
2018-01-08,3328,8010701,4.62,2
2018-01-09,3328,8010701,11.56,5
2018-01-10,3328,8010701,4.62,2
2018-01-11,3328,8010701,16.18,7
2018-01-12,3328,8010701,6.93,3
2018-01-13,3328,8010701,25.42,11
2018-01-14,3328,8010701,4.62,2
2018-01-15,3328,8010701,4.62,2
2018-01-16,3328,8010701,20.83,9
2018-01-17,3328,8010701,9.24,4
2018-01-18,3328,8010701,11.55,5
2018-01-19,3328,8010701,6.93,3
2018-01-20,3328,8010701,9.24,4
2018-01-21,3328,8010701,18.49,8
2018-01-22,3328,8010701,11.55,5
2018-01-23,3328,8010701,9.24,4
2018-01-24,3328,8010701,2.31,1
2018-01-25,3328,8010701,11.55,5
2018-01-26,3328,8010701,13.86,6
2018-01-27,3328,8010701,13.87,6
2018-01-28,3328,8010701,20.8,9
2018-01-29,3328,8010701,4.62,2
2018-01-30,3328,8010701,11.55,5
2018-01-31,3328,8010701,13.87,6
2018-02-01,3328,8010701,9.25,4
2018-02-02,3328,8010701,9.25,4
2018-02-03,3328,8010701,9.24,4
2018-02-04,3328,8010701,16.18,7
2018-02-05,3328,8010701,13.88,6
2018-02-06,3328,8010701,19.11,7
2018-02-07,3328,8010701,10.92,4
2018-02-08,3328,8010701,19.11,7
2018-02-09,3328,8010701,10.92,4
2018-02-10,3328,8010701,21.84,8
2018-02-11,3328,8010701,13.65,5
2018-02-12,3328,8010701,2.73,1
2018-02-13,3328,8010701,5.46,2
2018-02-14,3328,8010701,24.57,9
2018-02-15,3328,8010701,2.73,1
2018-02-16,3328,8010701,19.11,7
2018-02-17,3328,8010701,8.19,3
2018-02-18,3328,8010701,5.46,2
2018-02-21,3328,8010701,10.92,4
2018-02-22,3328,8010701,5.46,2
2018-02-23,3328,8010701,10.92,4
2018-02-24,3328,8010701,21.84,8
2018-02-25,3328,8010701,24.57,9
2018-02-26,3328,8010701,5.46,2
2018-02-27,3328,8010701,10.92,4
2018-02-28,3328,8010701,19.11,7
2018-03-01,3328,8010701,10.92,4
2018-03-02,3328,8010701,8.19,3
2018-03-03,3328,8010701,16.38,6
2018-03-04,3328,8010701,10.92,4
2018-03-05,3328,8010701,16.38,6
2018-03-06,3328,8010701,13.65,5
2018-03-07,3328,8010701,2.73,1
2018-03-08,3328,8010701,27.31,10
2018-03-09,3328,8010701,13.65,5
2018-03-10,3328,8010701,5.46,2
2018-03-11,3328,8010701,8.19,3
2018-03-12,3328,8010701,8.19,3
2018-03-13,3328,8010701,13.65,5
2018-03-14,3328,8010701,8.19,3
2018-03-15,3328,8010701,5.46,2
2018-03-16,3328,8010701,2.73,1
2018-03-17,3328,8010701,13.65,5
2018-03-18,3328,8010701,5.46,2
2018-03-19,3328,8010701,5.46,2
2018-03-20,3328,8010701,8.19,3
2018-03-22,3328,8010701,5.46,2
2018-03-23,3328,8010701,21.84,8
2018-03-24,3328,8010701,16.38,6
2018-03-25,3328,8010701,19.11,7
2018-03-26,3328,8010701,8.19,3
2018-03-27,3328,8010701,10.92,4
2018-03-28,3328,8010701,5.46,2
2018-03-29,3328,8010701,10.92,4
2018-03-30,3328,8010701,13.65,5
2018-03-31,3328,8010701,16.38,6
2018-04-01,3328,8010701,5.46,2
2018-04-02,3328,8010701,8.19,3
2018-04-03,3328,8010701,5.46,2
2018-04-04,3328,8010701,5.46,2
2018-04-05,3328,8010701,8.19,3
2018-04-06,3328,8010701,8.19,3
2018-04-07,3328,8010701,2.73,1
2018-04-08,3328,8010701,24.57,9
2018-04-09,3328,8010701,10.92,4
2018-04-10,3328,8010701,2.73,1
2018-04-11,3328,8010701,8.19,3
2018-04-12,3328,8010701,10.92,4
2018-04-13,3328,8010701,10.92,4
2018-04-14,3328,8010701,10.92,4
2018-04-15,3328,8010701,13.65,5
2018-04-17,3328,8010701,8.19,3
2018-04-18,3328,8010701,8.19,3
2018-04-19,3328,8010701,13.65,5
2018-04-20,3328,8010701,8.19,3
2018-04-21,3328,8010701,2.73,1
