tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,3889,8011740,3.71,4
2017-01-02,3889,8011740,1.85,2
2017-01-03,3889,8011740,5.56,6
2017-01-04,3889,8011740,3.7,4
2017-01-05,3889,8011740,2.78,3
2017-01-06,3889,8011740,25.01,27
2017-01-07,3889,8011740,18.53,20
2017-01-08,3889,8011740,5.56,6
2017-01-09,3889,8011740,5.56,6
2017-01-10,3889,8011740,4.64,5
2017-01-11,3889,8011740,7.41,8
2017-01-12,3889,8011740,6.48,7
2017-01-13,3889,8011740,11.11,12
2017-01-14,3889,8011740,7.42,8
2017-01-15,3889,8011740,0.93,1
2017-01-16,3889,8011740,1.86,2
2017-01-17,3889,8011740,46.31,50
2017-01-18,3889,8011740,12.98,14
2017-01-19,3889,8011740,4.65,5
2017-01-20,3889,8011740,7.42,8
2017-01-21,3889,8011740,4.65,5
2017-01-22,3889,8011740,19.45,21
2017-01-23,3889,8011740,5.57,6
2017-01-24,3889,8011740,30.56,33
2017-01-25,3889,8011740,3.71,4
2017-01-26,3889,8011740,8.34,9
2017-01-27,3889,8011740,12.05,13
2017-01-28,3889,8011740,8.34,9
2017-01-29,3889,8011740,22.23,24
2017-01-30,3889,8011740,4.63,5
2017-01-31,3889,8011740,36.12,39
2017-02-01,3889,8011740,8.33,9
2017-02-02,3889,8011740,33.35,36
2017-02-03,3889,8011740,14.83,16
2017-02-04,3889,8011740,19.46,21
2017-02-05,3889,8011740,11.13,12
2017-02-06,3889,8011740,14.84,16
2017-02-07,3889,8011740,0.93,1
2017-02-08,3889,8011740,10.2,11
2017-02-09,3889,8011740,4.64,5
2017-02-10,3889,8011740,15.77,17
2017-02-11,3889,8011740,9.3,10
2017-02-12,3889,8011740,7.44,8
2017-02-13,3889,8011740,7.43,8
2017-02-14,3889,8011740,1.86,2
2017-02-15,3889,8011740,4.64,5
2017-02-16,3889,8011740,12.05,13
2017-02-17,3889,8011740,8.36,9
2017-02-18,3889,8011740,20.4,22
2017-02-19,3889,8011740,12.04,13
2017-02-20,3889,8011740,10.19,11
2017-02-21,3889,8011740,12.98,14
2017-02-22,3889,8011740,10.19,11
2017-02-23,3889,8011740,7.43,8
2017-02-24,3889,8011740,10.2,11
2017-02-25,3889,8011740,58.35,63
2017-02-26,3889,8011740,13.91,15
2017-02-27,3889,8011740,12.06,13
2017-02-28,3889,8011740,0.93,1
2017-03-01,3889,8011740,0.93,1
2017-03-02,3889,8011740,9.27,10
2017-03-04,3889,8011740,0.93,1
2017-03-18,3889,8011740,9.28,10
2017-03-19,3889,8011740,8.35,9
2017-03-20,3889,8011740,11.12,12
2017-03-21,3889,8011740,4.64,5
2017-03-22,3889,8011740,5.56,6
2017-03-23,3889,8011740,7.42,8
2017-03-24,3889,8011740,8.35,9
2017-03-25,3889,8011740,9.27,10
2017-03-26,3889,8011740,9.27,10
2017-03-27,3889,8011740,6.49,7
2017-03-28,3889,8011740,4.64,5
2017-03-29,3889,8011740,11.12,12
2017-03-30,3889,8011740,8.35,9
2017-03-31,3889,8011740,3.72,4
2017-04-01,3889,8011740,14.84,16
2017-04-02,3889,8011740,12.99,14
2017-04-03,3889,8011740,2.79,3
2017-04-04,3889,8011740,8.34,9
2017-04-05,3889,8011740,5.58,6
2017-04-06,3889,8011740,15.76,17
2017-04-07,3889,8011740,4.64,5
2017-04-08,3889,8011740,41.67,45
2017-04-09,3889,8011740,6.5,7
2017-04-10,3889,8011740,9.27,10
2017-04-11,3889,8011740,10.2,11
2017-04-12,3889,8011740,12.05,13
2017-04-13,3889,8011740,15.76,17
2017-04-14,3889,8011740,1.85,2
2017-04-15,3889,8011740,9.28,10
2017-04-16,3889,8011740,4.65,5
2017-04-17,3889,8011740,5.56,6
2017-04-18,3889,8011740,9.26,10
2017-04-20,3889,8011740,11.13,12
2017-04-21,3889,8011740,13.91,15
2017-04-22,3889,8011740,12.97,14
2017-04-23,3889,8011740,12.05,13
2017-04-24,3889,8011740,11.14,12
2017-04-25,3889,8011740,7.42,8
2017-04-26,3889,8011740,9.27,10
