tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2018-01-01,1096,8010701,83.24,36
2018-01-02,1096,8010701,80.92,35
2018-01-03,1096,8010701,127.22,55
2018-01-04,1096,8010701,90.14,39
2018-01-05,1096,8010701,92.49,40
2018-01-06,1096,8010701,131.82,57
2018-01-07,1096,8010701,110.93,48
2018-01-08,1096,8010701,101.76,44
2018-01-09,1096,8010701,62.41,27
2018-01-10,1096,8010701,134.13,58
2018-01-11,1096,8010701,73.98,32
2018-01-12,1096,8010701,122.55,53
2018-01-13,1096,8010701,173.42,75
2018-01-14,1096,8010701,154.92,67
2018-01-15,1096,8010701,92.49,40
2018-01-16,1096,8010701,104.08,45
2018-01-17,1096,8010701,106.36,46
2018-01-18,1096,8010701,138.77,60
2018-01-19,1096,8010701,110.99,48
2018-01-20,1096,8010701,171.09,74
2018-01-21,1096,8010701,117.92,51
2018-01-22,1096,8010701,97.13,42
2018-01-23,1096,8010701,46.25,20
2018-01-24,1096,8010701,80.91,35
2018-01-25,1096,8010701,62.4,27
2018-01-26,1096,8010701,129.48,56
2018-01-27,1096,8010701,164.14,71
2018-01-28,1096,8010701,122.55,53
2018-01-29,1096,8010701,43.92,19
2018-01-30,1096,8010701,73.97,32
2018-01-31,1096,8010701,64.72,28
2018-02-01,1096,8010701,104.04,45
2018-02-02,1096,8010701,108.67,47
2018-02-03,1096,8010701,145.63,63
2018-02-04,1096,8010701,166.48,72
2018-02-05,1096,8010701,87.87,38
2018-02-06,1096,8010701,101.02,37
2018-02-07,1096,8010701,101.03,37
2018-02-08,1096,8010701,111.95,41
2018-02-09,1096,8010701,90.1,33
2018-02-10,1096,8010701,182.92,67
2018-02-11,1096,8010701,144.71,53
2018-02-12,1096,8010701,136.51,50
2018-02-13,1096,8010701,73.71,27
2018-02-14,1096,8010701,81.91,30
2018-02-15,1096,8010701,76.44,28
2018-02-16,1096,8010701,117.4,43
2018-02-17,1096,8010701,161.08,59
2018-02-18,1096,8010701,147.43,54
2018-02-19,1096,8010701,73.71,27
2018-02-20,1096,8010701,95.56,35
2018-02-21,1096,8010701,73.71,27
2018-02-22,1096,8010701,43.68,16
2018-02-23,1096,8010701,139.25,51
2018-02-24,1096,8010701,101.03,37
2018-02-25,1096,8010701,128.31,47
2018-02-26,1096,8010701,87.37,32
2018-02-27,1096,8010701,76.44,28
2018-02-28,1096,8010701,95.57,35
2018-03-01,1096,8010701,92.83,34
2018-03-02,1096,8010701,92.83,34
2018-03-03,1096,8010701,152.89,56
2018-03-04,1096,8010701,133.78,49
2018-03-05,1096,8010701,128.33,47
2018-03-06,1096,8010701,70.98,26
2018-03-07,1096,8010701,49.14,18
2018-03-08,1096,8010701,68.25,25
2018-03-09,1096,8010701,68.25,25
2018-03-10,1096,8010701,79.17,29
2018-03-11,1096,8010701,79.18,29
2018-03-12,1096,8010701,70.98,26
2018-03-13,1096,8010701,70.98,26
2018-03-14,1096,8010701,65.52,24
2018-03-15,1096,8010701,90.09,33
2018-03-16,1096,8010701,57.33,21
2018-03-17,1096,8010701,92.82,34
2018-03-18,1096,8010701,98.28,36
2018-03-19,1096,8010701,70.99,26
2018-03-20,1096,8010701,57.33,21
2018-03-21,1096,8010701,62.79,23
2018-03-22,1096,8010701,62.8,23
2018-03-23,1096,8010701,106.49,39
2018-03-24,1096,8010701,147.43,54
2018-03-25,1096,8010701,133.78,49
2018-03-26,1096,8010701,98.29,36
2018-03-27,1096,8010701,57.33,21
2018-03-28,1096,8010701,106.47,39
2018-03-29,1096,8010701,62.79,23
2018-03-30,1096,8010701,57.33,21
2018-03-31,1096,8010701,103.75,38
2018-04-01,1096,8010701,111.94,41
2018-04-02,1096,8010701,103.74,38
2018-04-03,1096,8010701,76.44,28
2018-04-04,1096,8010701,79.18,29
2018-04-05,1096,8010701,81.9,30
2018-04-06,1096,8010701,87.37,32
2018-04-07,1096,8010701,120.12,44
2018-04-08,1096,8010701,122.85,45
2018-04-09,1096,8010701,92.83,34
2018-04-10,1096,8010701,43.68,16
2018-04-11,1096,8010701,76.45,28
2018-04-12,1096,8010701,92.83,34
2018-04-13,1096,8010701,84.63,31
2018-04-14,1096,8010701,114.67,42
2018-04-15,1096,8010701,141.97,52
2018-04-16,1096,8010701,103.74,38
2018-04-17,1096,8010701,40.95,15
2018-04-18,1096,8010701,79.17,29
2018-04-19,1096,8010701,70.98,26
2018-04-20,1096,8010701,95.55,35
2018-04-21,1096,8010701,139.24,51
2018-04-22,1096,8010701,95.56,35
2018-04-23,1096,8010701,125.59,46
2018-04-24,1096,8010701,109.2,40
2018-04-25,1096,8010701,136.51,50
2018-04-26,1096,8010701,103.74,38
2018-04-27,1096,8010701,109.21,40
2018-04-28,1096,8010701,158.36,58
2018-04-29,1096,8010701,87.37,32
2018-04-30,1096,8010701,103.74,38
2018-05-01,1096,8010701,147.42,54
2018-05-02,1096,8010701,81.9,30
2018-05-03,1096,8010701,40.95,15
2018-05-04,1096,8010701,21.84,8
2018-05-05,1096,8010701,174.73,64
2018-05-06,1096,8010701,141.96,52
2018-05-07,1096,8010701,103.74,38
2018-05-08,1096,8010701,24.57,9
2018-05-09,1096,8010701,35.5,13
2018-05-10,1096,8010701,114.66,42
2018-05-11,1096,8010701,125.6,46
2018-05-12,1096,8010701,141.96,52
2018-05-13,1096,8010701,131.05,48
2018-05-14,1096,8010701,90.09,33
2018-05-15,1096,8010701,95.55,35
2018-05-16,1096,8010701,98.28,36
2018-05-17,1096,8010701,87.36,32
2018-05-18,1096,8010701,101.01,37
2018-05-19,1096,8010701,207.5,76
2018-05-20,1096,8010701,177.49,65
2018-05-21,1096,8010701,103.74,38
2018-05-22,1096,8010701,139.24,51
2018-05-23,1096,8010701,98.28,36
2018-05-24,1096,8010701,95.56,35
2018-05-25,1096,8010701,150.16,55
2018-05-26,1096,8010701,226.59,83
2018-05-27,1096,8010701,158.34,58
2018-05-28,1096,8010701,128.32,47
2018-05-29,1096,8010701,81.9,30
2018-05-30,1096,8010701,90.09,33
2018-05-31,1096,8010701,109.21,40
2018-06-01,1096,8010701,133.77,49
2018-06-02,1096,8010701,166.54,61
2018-06-03,1096,8010701,49.14,18
2018-06-04,1096,8010701,10.92,4
2018-06-05,1096,8010701,106.48,39
2018-06-06,1096,8010701,98.28,36
2018-06-07,1096,8010701,150.16,55
2018-06-08,1096,8010701,155.62,57
2018-06-09,1096,8010701,163.8,60
2018-06-10,1096,8010701,136.5,50
2018-06-11,1096,8010701,106.48,39
2018-06-12,1096,8010701,103.75,38
2018-06-13,1096,8010701,95.55,35
2018-06-14,1096,8010701,180.18,66
2018-06-15,1096,8010701,109.2,40
2018-06-16,1096,8010701,114.66,42
2018-06-17,1096,8010701,147.42,54
2018-06-18,1096,8010701,122.85,45
2018-06-19,1096,8010701,76.44,28
2018-06-20,1096,8010701,81.9,30
2018-06-21,1096,8010701,95.55,35
2018-06-22,1096,8010701,87.36,32
2018-06-23,1096,8010701,139.24,51
2018-06-24,1096,8010701,212.95,78
2018-06-25,1096,8010701,98.28,36
2018-06-26,1096,8010701,106.48,39
2018-06-27,1096,8010701,111.93,41
2018-06-28,1096,8010701,92.83,34
2018-06-29,1096,8010701,81.9,30
2018-06-30,1096,8010701,136.5,50
2018-07-01,1096,8010701,92.82,34
2018-07-02,1096,8010701,131.06,48
2018-07-03,1096,8010701,136.52,50
2018-07-04,1096,8010701,111.95,41
2018-07-05,1096,8010701,106.47,39
2018-07-06,1096,8010701,125.61,46
2018-07-07,1096,8010701,155.61,57
2018-07-08,1096,8010701,139.23,51
2018-07-09,1096,8010701,109.2,40
2018-07-10,1096,8010701,79.17,29
2018-07-11,1096,8010701,90.09,33
2018-07-12,1096,8010701,98.28,36
2018-07-13,1096,8010701,92.82,34
2018-07-14,1096,8010701,79.18,29
2018-07-15,1096,8010701,133.77,49
2018-07-16,1096,8010701,103.74,38
2018-07-17,1096,8010701,84.64,31
2018-07-18,1096,8010701,79.17,29
2018-07-19,1096,8010701,83.23,29
2018-07-20,1096,8010701,83.23,29
2018-07-21,1096,8010701,137.76,48
2018-07-22,1096,8010701,146.37,51
2018-07-23,1096,8010701,86.1,30
2018-07-24,1096,8010701,83.23,29
2018-07-25,1096,8010701,71.75,25
2018-07-26,1096,8010701,88.97,31
2018-07-27,1096,8010701,111.93,39
2018-07-28,1096,8010701,137.76,48
2018-07-29,1096,8010701,123.41,43
2018-07-30,1096,8010701,97.03,34
2018-07-31,1096,8010701,100.45,35
2018-08-01,1096,8010701,117.67,41
2018-08-02,1096,8010701,74.62,26
2018-08-03,1096,8010701,112.24,43
2018-08-04,1096,8010701,101.01,37
2018-08-05,1096,8010701,122.85,45
2018-08-06,1096,8010701,117.41,43
2018-08-07,1096,8010701,71.73,28
2018-08-08,1096,8010701,84.12,34
2018-08-09,1096,8010701,120.1,47
2018-08-10,1096,8010701,68.8,27
2018-08-11,1096,8010701,119.75,47
2018-08-12,1096,8010701,119.75,47
2018-08-13,1096,8010701,135.04,56
2018-08-14,1096,8010701,81.55,34
2018-08-15,1096,8010701,81.53,32
2018-08-16,1096,8010701,66.01,23
2018-08-17,1096,8010701,117.67,41
2018-08-18,1096,8010701,109.06,38
2018-08-19,1096,8010701,91.84,32
2018-08-20,1096,8010701,123.41,43
2018-08-21,1096,8010701,34.44,12
2018-08-22,1096,8010701,48.79,17
2018-08-23,1096,8010701,91.84,32
2018-08-24,1096,8010701,86.1,30
2018-08-25,1096,8010701,109.06,38
2018-08-26,1096,8010701,152.11,53
2018-08-27,1096,8010701,132.02,46
2018-08-28,1096,8010701,88.97,31
2018-08-29,1096,8010701,74.62,26
2018-08-30,1096,8010701,143.5,50
2018-08-31,1096,8010701,97.58,34
2018-09-01,1096,8010701,120.54,42
2018-09-02,1096,8010701,169.33,59
2018-09-03,1096,8010701,106.19,37
2018-09-04,1096,8010701,88.06,29
2018-09-05,1096,8010701,111.6,36
2018-09-06,1096,8010701,133.31,43
2018-09-07,1096,8010701,83.71,27
2018-09-08,1096,8010701,114.7,37
2018-09-09,1096,8010701,111.61,36
2018-09-10,1096,8010701,55.8,18
2018-09-11,1096,8010701,68.2,22
2018-09-12,1096,8010701,83.71,27
2018-09-13,1096,8010701,93.01,30
2018-09-14,1096,8010701,120.91,39
2018-09-15,1096,8010701,148.81,48
2018-09-16,1096,8010701,145.71,47
2018-09-17,1096,8010701,89.9,29
2018-09-18,1096,8010701,89.9,29
2018-09-19,1096,8010701,86.8,28
2018-09-20,1096,8010701,52.7,17
2018-09-21,1096,8010701,108.52,35
2018-09-22,1096,8010701,232.53,75
2018-09-23,1096,8010701,229.45,74
2018-09-24,1096,8010701,108.52,35
2018-09-25,1096,8010701,120.92,39
2018-09-26,1096,8010701,99.2,32
2018-09-27,1096,8010701,111.61,36
2018-09-28,1096,8010701,139.51,45
2018-09-29,1096,8010701,170.51,55
2018-09-30,1096,8010701,170.51,55
2018-10-01,1096,8010701,117.8,38
2018-10-02,1096,8010701,133.31,43
2018-10-03,1096,8010701,124.02,40
2018-10-04,1096,8010701,120.93,39
2018-10-05,1096,8010701,99.2,32
2018-10-06,1096,8010701,161.2,52
2018-10-07,1096,8010701,136.4,44
2018-10-08,1096,8010701,102.32,33
2018-10-09,1096,8010701,105.4,34
2018-10-10,1096,8010701,40.3,13
2018-10-11,1096,8010701,71.3,23
2018-10-12,1096,8010701,108.51,35
2018-10-13,1096,8010701,124.0,40
2018-10-14,1096,8010701,186.03,60
2018-10-15,1096,8010701,89.9,29
2018-10-16,1096,8010701,68.2,22
2018-10-17,1096,8010701,89.9,29
2018-10-18,1096,8010701,83.71,27
2018-10-19,1096,8010701,111.61,36
2018-10-20,1096,8010701,179.81,58
2018-10-21,1096,8010701,161.22,52
2018-10-22,1096,8010701,117.82,38
2018-10-23,1096,8010701,93.0,30
2018-10-24,1096,8010701,99.21,32
2018-10-25,1096,8010701,152.88,59
2018-10-26,1096,8010701,262.99,108
2018-10-27,1096,8010701,291.8,117
2018-10-28,1096,8010701,199.5,76
2018-10-29,1096,8010701,219.41,87
2018-10-30,1096,8010701,128.43,49
2018-10-31,1096,8010701,137.6,53
2018-11-01,1096,8010701,87.97,33
2018-11-02,1096,8010701,172.02,69
2018-11-03,1096,8010701,173.26,67
2018-11-04,1096,8010701,203.57,81
2018-11-05,1096,8010701,121.55,48
2018-11-06,1096,8010701,133.79,53
2018-11-07,1096,8010701,105.53,41
2018-11-08,1096,8010701,102.32,33
2018-11-09,1096,8010701,145.71,47
2018-11-10,1096,8010701,139.53,45
2018-11-11,1096,8010701,120.9,39
2018-11-12,1096,8010701,68.2,22
2018-11-13,1096,8010701,52.7,17
2018-11-14,1096,8010701,108.5,35
2018-11-15,1096,8010701,74.41,24
2018-11-16,1096,8010701,117.8,38
2018-11-17,1096,8010701,155.02,50
2018-11-18,1096,8010701,136.4,44
2018-11-19,1096,8010701,52.7,17
2018-11-20,1096,8010701,52.7,17
2018-11-21,1096,8010701,80.6,26
