tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,2177,8011001,10.71,7
2017-01-02,2177,8011001,18.35,12
2017-01-03,2177,8011001,18.35,12
2017-01-04,2177,8011001,12.23,8
2017-01-05,2177,8011001,13.76,9
2017-01-06,2177,8011001,10.7,7
2017-01-07,2177,8011001,21.4,14
2017-01-08,2177,8011001,10.7,7
2017-01-09,2177,8011001,26.0,17
2017-01-10,2177,8011001,7.64,5
2017-01-11,2177,8011001,12.23,8
2017-01-12,2177,8011001,19.88,13
2017-01-13,2177,8011001,29.05,19
2017-01-14,2177,8011001,15.3,10
2017-01-15,2177,8011001,12.23,8
2017-01-16,2177,8011001,16.82,11
2017-01-17,2177,8011001,24.45,16
2017-01-18,2177,8011001,22.93,15
2017-01-19,2177,8011001,13.77,9
2017-01-20,2177,8011001,27.4,16
2017-01-21,2177,8011001,5.14,3
2017-01-22,2177,8011001,8.55,5
2017-01-23,2177,8011001,17.12,10
2017-01-24,2177,8011001,17.12,10
2017-01-25,2177,8011001,1.71,1
2017-01-26,2177,8011001,5.13,3
2017-01-27,2177,8011001,10.26,6
2017-01-28,2177,8011001,49.68,29
2017-01-29,2177,8011001,25.69,15
2017-01-30,2177,8011001,5.13,3
2017-01-31,2177,8011001,59.94,35
2017-02-01,2177,8011001,6.84,4
2017-02-02,2177,8011001,42.82,25
2017-02-03,2177,8011001,13.71,8
2017-02-04,2177,8011001,10.27,6
2017-02-05,2177,8011001,18.83,11
2017-02-06,2177,8011001,6.85,4
2017-02-07,2177,8011001,25.68,15
2017-02-08,2177,8011001,6.84,4
2017-02-09,2177,8011001,22.27,13
2017-02-10,2177,8011001,11.99,8
2017-02-11,2177,8011001,39.4,24
2017-02-12,2177,8011001,17.13,13
2017-02-13,2177,8011001,15.43,9
2017-02-14,2177,8011001,29.12,17
2017-02-15,2177,8011001,8.57,5
2017-02-16,2177,8011001,22.28,13
2017-02-17,2177,8011001,17.12,10
2017-02-18,2177,8011001,13.71,8
2017-02-19,2177,8011001,32.55,19
2017-02-20,2177,8011001,6.84,4
2017-02-21,2177,8011001,23.98,14
2017-02-22,2177,8011001,34.26,20
2017-02-23,2177,8011001,29.1,17
2017-02-24,2177,8011001,20.53,12
2017-02-25,2177,8011001,17.13,10
2017-02-26,2177,8011001,10.27,6
2017-02-27,2177,8011001,27.41,16
2017-02-28,2177,8011001,42.81,25
2017-03-01,2177,8011001,25.7,15
2017-03-02,2177,8011001,17.13,10
2017-03-03,2177,8011001,20.54,12
2017-03-04,2177,8011001,30.83,18
