Product,Store,RMSE,MAPE,Model Runtime,Model,Epochs
8011001,1096,22.888119888473614,21.437771890637556,170.54411792755127,LSTM-v1,50
8011001,2177,11.580263898137366,30.10569583801996,161.14224100112915,LSTM-v1,50
8011001,2189,5.608863443181552,12.8812307104431,166.38683700561523,LSTM-v1,50
8011001,3328,2.8955742757368577,22.529985223497665,128.1395149230957,LSTM-v1,50
8011001,3349,3.4138683594613153,26.514368738446915,153.04420518875122,LSTM-v1,50
8011001,3889,11.859323159980296,16.98385068595832,170.50416898727417,LSTM-v1,50
8011001,4388,3.7359594611899314,28.55978592649683,126.01390838623048,LSTM-v1,50
8011001,4816,3.698183038350261,81.87990842866955,147.62903022766113,LSTM-v1,50
8011001,5136,3.637833951034995,36.039550645010806,164.31354427337646,LSTM-v1,50
8011003,1096,1.72721059770391,21.949395881822458,93.57607078552246,LSTM-v1,50
8011003,2177,5.167223984716812,10.933629006216346,150.7108678817749,LSTM-v1,50
8011003,2189,2.7182068767497647,13.04273830631089,154.37259483337402,LSTM-v1,50
8011003,3328,0.7466256200505186,21.328075442995345,117.00768327713013,LSTM-v1,50
8011003,3349,2.4869761132004315,34.10673752639053,162.87309527397156,LSTM-v1,50
8011003,3889,4.911942431218696,10.672592334352135,158.2496497631073,LSTM-v1,50
8011003,4388,0.6516861795366125,55.32753808157784,110.11197900772096,LSTM-v1,50
8011003,4816,2.036783312923905,116.91589241936096,118.18968081474304,LSTM-v1,50
8011003,5136,4.218331477886054,22.586295065425688,144.9669599533081,LSTM-v1,50
8010903,1096,4.08342948027341,27.013173375410883,162.98055601119995,LSTM-v1,50
8010903,2177,16.282967473328696,29.331993963204173,114.89815378189088,LSTM-v1,50
8010903,2189,26.495463025964288,27.728328367186933,161.888365983963,LSTM-v1,50
8010903,3328,15.041216225647794,32.980039009136696,160.15019989013672,LSTM-v1,50
8010903,3349,5.560245366845005,22.482772706046937,108.65427780151369,LSTM-v1,50
8010903,3889,11.655586768337589,30.842612497930887,172.41723585128784,LSTM-v1,50
8010903,4388,2.34969674479955,57.649621452604016,158.97188210487366,LSTM-v1,50
8010903,4816,0.3411793441634603,21.85993024281093,110.39657306671144,LSTM-v1,50
8010903,5136,6.769878137909227,20.16154951426811,173.41354894638062,LSTM-v1,50
8011740,1096,16.150403872701585,31.05610097714949,161.36683678627014,LSTM-v1,50
8011740,2177,2.539182720385047,21.16313164362666,98.55706191062929,LSTM-v1,50
8011740,2189,0.3951047479994052,9.631946541014171,127.268168926239,LSTM-v1,50
8011740,3328,0.3937992880681509,6.437766268139794,130.80360198020935,LSTM-v1,50
8011740,3349,2.131022963192577,69.31786153997693,150.86988282203674,LSTM-v1,50
8011740,3889,7.49997447682294,37.873116678121136,151.6478350162506,LSTM-v1,50
8011740,4388,0.9314808101723748,19.39631087439401,139.67718505859375,LSTM-v1,50
8011740,4816,0.7811150566289083,58.30822672162738,88.85748481750488,LSTM-v1,50
8011740,5136,3.0999902725235655,83.25004960809436,146.5702199935913,LSTM-v1,50
8011002,1096,5.9483651325740245,20.315294141893265,140.13518118858337,LSTM-v1,50
8011002,2177,2.672049370777964,17.13698676654271,119.08345818519592,LSTM-v1,50
8011002,2189,2.0551864457971165,18.916646828727117,111.53043484687804,LSTM-v1,50
8011002,3328,1.2884515651921389,21.44658105713981,82.15442419052124,LSTM-v1,50
8011002,3349,1.7070500377194875,50.52790244420369,122.32932591438292,LSTM-v1,50
8011002,3889,2.612342786976027,41.3764358512939,116.93272709846497,LSTM-v1,50
8011002,4388,1.3719175478962709,89.46204597041721,36.496422290802,LSTM-v1,50
8011002,4816,1.6341344709522008,97.82196015727764,106.2048830986023,LSTM-v1,50
8011002,5136,1.4493064198077503,49.53942469188145,118.89472103118896,LSTM-v1,50
8017442,1096,6.872634802372817,160.94368200797538,90.41497492790222,LSTM-v1,50
8017442,2177,2.8900269759064496,173.59752427963983,105.09068083763124,LSTM-v1,50
8017442,2189,4.846681063950395,29.213521773355044,121.23086905479433,LSTM-v1,50
8017442,3328,0.5177206299065591,17.066244284311928,103.25892877578735,LSTM-v1,50
8017442,3349,1.6940463676688176,73.13825147492545,100.08636093139648,LSTM-v1,50
8017442,3889,1.4089905926739454,64.51802253723145,151.01567697525024,LSTM-v1,50
8017442,4388,0.79396192580038,25.283507789884297,94.26628828048706,LSTM-v1,50
8017442,4816,0.4703101229268154,43.454006740025115,95.2161979675293,LSTM-v1,50
8017442,5136,1.2385908884440546,58.52657681419736,135.34388709068298,LSTM-v1,50
8011605,1096,4.347498089528984,23.92861195972988,139.14478373527527,LSTM-v1,50
8011605,2177,3.866333374585203,57.54349892829364,115.16652011871338,LSTM-v1,50
8011605,2189,3.0969515073405316,29.073116611731564,133.7288682460785,LSTM-v1,50
8011605,3328,0.3651025242720446,10.83588685308184,59.87040710449219,LSTM-v1,50
8011605,3349,1.0955656602161672,17.39904923098428,112.06753420829772,LSTM-v1,50
8011605,3889,1.828570871812873,18.452221114619245,143.17417812347412,LSTM-v1,50
8011605,4388,0.7719024161767714,25.682149614606587,103.56212091445924,LSTM-v1,50
8011605,4816,0.5223472797690165,49.44820063454764,115.2381238937378,LSTM-v1,50
8011605,5136,1.8549309734067396,39.56819159643991,85.66918301582336,LSTM-v1,50
