tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-06-18,5136,8011001,13.69,8
2017-06-19,5136,8011001,6.85,4
2017-06-20,5136,8011001,8.55,5
2017-06-21,5136,8011001,15.41,9
2017-06-22,5136,8011001,10.27,6
2017-06-23,5136,8011001,11.98,7
2017-06-24,5136,8011001,22.27,13
2017-06-25,5136,8011001,13.69,8
2017-06-26,5136,8011001,10.27,6
2017-06-27,5136,8011001,11.98,7
2017-06-28,5136,8011001,12.0,7
2017-06-29,5136,8011001,11.99,7
2017-06-30,5136,8011001,23.95,14
2017-07-01,5136,8011001,22.27,13
2017-07-02,5136,8011001,6.85,4
2017-07-03,5136,8011001,22.25,13
2017-07-04,5136,8011001,17.13,10
2017-07-05,5136,8011001,10.27,6
2017-07-06,5136,8011001,20.56,12
2017-07-07,5136,8011001,6.84,4
2017-07-08,5136,8011001,10.27,6
2017-07-09,5136,8011001,17.13,10
2017-07-10,5136,8011001,22.26,13
2017-07-11,5136,8011001,27.38,16
2017-07-12,5136,8011001,17.13,10
2017-07-13,5136,8011001,23.98,14
2017-07-14,5136,8011001,17.12,10
2017-07-15,5136,8011001,8.55,5
2017-07-16,5136,8011001,20.55,12
2017-07-17,5136,8011001,5.14,3
2017-07-18,5136,8011001,13.7,8
2017-07-19,5136,8011001,18.83,11
2017-07-20,5136,8011001,8.56,5
2017-07-21,5136,8011001,10.27,6
2017-07-22,5136,8011001,18.83,11
2017-07-23,5136,8011001,30.83,18
2017-07-24,5136,8011001,23.99,14
2017-07-25,5136,8011001,32.52,19
2017-07-26,5136,8011001,11.99,7
2017-07-27,5136,8011001,5.13,3
2017-07-28,5136,8011001,10.27,6
2017-07-29,5136,8011001,10.27,6
2017-07-30,5136,8011001,6.85,4
2017-07-31,5136,8011001,15.4,9
2017-08-01,5136,8011001,10.27,6
2017-08-02,5136,8011001,15.39,9
2017-08-03,5136,8011001,20.56,12
2017-08-04,5136,8011001,11.98,7
2017-08-05,5136,8011001,29.11,17
2017-08-06,5136,8011001,35.95,21
2017-08-07,5136,8011001,17.12,10
2017-08-08,5136,8011001,41.11,24
2017-08-09,5136,8011001,11.99,7
2017-08-10,5136,8011001,11.97,7
2017-08-11,5136,8011001,25.7,15
2017-08-12,5136,8011001,8.55,5
2017-08-13,5136,8011001,15.42,9
2017-08-14,5136,8011001,11.98,7
2017-08-15,5136,8011001,25.69,15
2017-08-16,5136,8011001,10.27,6
2017-08-17,5136,8011001,13.69,8
2017-08-18,5136,8011001,15.4,9
2017-08-19,5136,8011001,18.83,11
2017-08-20,5136,8011001,13.7,8
2017-08-21,5136,8011001,17.11,10
2017-08-22,5136,8011001,20.55,12
2017-08-23,5136,8011001,10.28,6
2017-08-24,5136,8011001,15.39,9
2017-08-25,5136,8011001,13.7,8
2017-08-26,5136,8011001,20.56,12
2017-08-27,5136,8011001,17.13,10
2017-08-28,5136,8011001,34.27,20
2017-08-29,5136,8011001,6.84,4
2017-08-30,5136,8011001,10.27,6
2017-08-31,5136,8011001,11.99,7
2017-09-01,5136,8011001,22.26,13
2017-09-02,5136,8011001,23.97,14
2017-09-03,5136,8011001,15.41,9
2017-09-04,5136,8011001,5.13,3
2017-09-05,5136,8011001,11.97,7
2017-09-06,5136,8011001,18.82,11
2017-09-07,5136,8011001,29.11,17
2017-09-08,5136,8011001,22.24,13
2017-09-09,5136,8011001,3.42,2
2017-09-10,5136,8011001,25.68,15
2017-09-11,5136,8011001,11.99,7
2017-09-12,5136,8011001,20.55,12
2017-09-13,5136,8011001,11.98,7
2017-09-14,5136,8011001,22.25,13
2017-09-15,5136,8011001,29.1,17
2017-09-16,5136,8011001,35.99,21
