tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,4388,8017442,1.39,2
2017-01-03,4388,8017442,2.08,3
2017-01-04,4388,8017442,1.39,2
2017-01-07,4388,8017442,1.39,2
2017-01-08,4388,8017442,1.39,2
2017-01-09,4388,8017442,2.08,3
2017-01-10,4388,8017442,9.72,14
2017-01-11,4388,8017442,0.69,1
2017-01-12,4388,8017442,3.45,5
2017-01-14,4388,8017442,1.39,2
2017-01-19,4388,8017442,1.39,2
2017-01-22,4388,8017442,1.39,2
2017-01-25,4388,8017442,0.69,1
2017-01-29,4388,8017442,1.39,2
2017-01-31,4388,8017442,1.39,2
2017-02-01,4388,8017442,0.69,1
2017-02-03,4388,8017442,1.39,2
2017-02-04,4388,8017442,1.39,2
2017-02-05,4388,8017442,2.08,3
2017-02-06,4388,8017442,0.69,1
2017-02-07,4388,8017442,4.17,6
2017-02-09,4388,8017442,6.25,9
2017-02-10,4388,8017442,1.39,2
2017-02-12,4388,8017442,1.39,2
2017-02-13,4388,8017442,2.77,4
2017-02-14,4388,8017442,2.07,3
2017-02-16,4388,8017442,2.77,4
2017-02-17,4388,8017442,1.39,2
2017-02-18,4388,8017442,1.39,2
2017-02-20,4388,8017442,5.55,8
2017-02-21,4388,8017442,2.76,4
2017-02-22,4388,8017442,0.69,1
2017-02-24,4388,8017442,2.08,3
2017-02-26,4388,8017442,2.78,4
2017-02-27,4388,8017442,1.39,2
2017-02-28,4388,8017442,0.69,1
2017-03-01,4388,8017442,2.08,3
2017-03-02,4388,8017442,4.86,7
2017-03-03,4388,8017442,3.47,5
2017-03-04,4388,8017442,2.78,4
2017-03-05,4388,8017442,4.85,7
2017-03-06,4388,8017442,3.47,5
2017-03-11,4388,8017442,3.46,5
2017-03-13,4388,8017442,1.39,2
2017-03-14,4388,8017442,0.69,1
2017-03-15,4388,8017442,1.39,2
2017-03-16,4388,8017442,1.39,2
2017-03-17,4388,8017442,1.39,2
2017-03-18,4388,8017442,1.39,2
2017-03-21,4388,8017442,0.69,1
2017-03-23,4388,8017442,1.38,2
2017-03-24,4388,8017442,1.39,2
2017-03-25,4388,8017442,2.78,4
2017-03-27,4388,8017442,1.39,2
2017-03-28,4388,8017442,2.77,4
2017-03-29,4388,8017442,1.38,2
2017-03-30,4388,8017442,1.39,2
2017-03-31,4388,8017442,1.39,2
2017-04-01,4388,8017442,5.55,8
2017-04-02,4388,8017442,1.39,2
2017-04-04,4388,8017442,0.69,1
2017-04-05,4388,8017442,2.78,4
2017-04-06,4388,8017442,0.69,1
2017-04-07,4388,8017442,2.77,4
2017-04-08,4388,8017442,1.39,2
2017-04-10,4388,8017442,2.78,4
2017-04-12,4388,8017442,1.38,2
2017-04-15,4388,8017442,1.38,2
2017-04-19,4388,8017442,1.39,2
2017-04-20,4388,8017442,3.47,5
2017-04-21,4388,8017442,3.47,5
2017-04-22,4388,8017442,4.85,7
2017-04-23,4388,8017442,2.77,4
2017-04-24,4388,8017442,1.38,2
2017-04-25,4388,8017442,1.39,2
2017-04-26,4388,8017442,9.69,14
2017-04-27,4388,8017442,3.46,5
2017-04-28,4388,8017442,0.69,1
2017-04-29,4388,8017442,5.55,8
2017-04-30,4388,8017442,4.16,6
2017-05-01,4388,8017442,0.69,1
2017-05-02,4388,8017442,3.46,5
2017-05-03,4388,8017442,6.24,9
2017-05-05,4388,8017442,2.77,4
2017-05-06,4388,8017442,6.24,9
2017-05-07,4388,8017442,0.69,1
2017-05-08,4388,8017442,2.77,4
2017-05-09,4388,8017442,6.92,10
2017-05-10,4388,8017442,3.45,5
2017-05-11,4388,8017442,6.93,10
2017-05-12,4388,8017442,0.69,1
2017-07-06,4388,8017442,0.69,1
2017-07-07,4388,8017442,0.69,1
2017-07-08,4388,8017442,2.08,3
2017-07-11,4388,8017442,1.38,2
2017-07-13,4388,8017442,1.39,2
2017-07-14,4388,8017442,2.77,4
2017-07-15,4388,8017442,0.69,1
2017-07-16,4388,8017442,2.08,3
2017-07-18,4388,8017442,0.69,1
2017-07-19,4388,8017442,0.69,1
2017-07-20,4388,8017442,2.78,4
2017-07-21,4388,8017442,1.39,2
2017-07-22,4388,8017442,1.39,2
2017-07-23,4388,8017442,2.07,3
2017-07-24,4388,8017442,4.16,6
2017-07-25,4388,8017442,4.85,7
2017-07-26,4388,8017442,1.39,2
2017-07-27,4388,8017442,1.39,2
2017-08-02,4388,8017442,2.78,4
2017-08-03,4388,8017442,6.94,10
2017-08-04,4388,8017442,6.94,10
2017-08-11,4388,8017442,7.63,11
2017-08-12,4388,8017442,4.16,6
2017-08-14,4388,8017442,1.39,2
2017-08-15,4388,8017442,2.78,4
2017-08-16,4388,8017442,1.39,2
2017-08-17,4388,8017442,3.47,5
2017-08-18,4388,8017442,6.94,10
2017-08-19,4388,8017442,0.69,1
2017-08-20,4388,8017442,0.69,1
2017-08-21,4388,8017442,2.78,4
2017-08-25,4388,8017442,0.69,1
2017-08-26,4388,8017442,2.07,3
2017-08-27,4388,8017442,8.33,12
2017-08-29,4388,8017442,11.1,16
2017-08-30,4388,8017442,5.55,8
2017-08-31,4388,8017442,2.77,4
2017-09-02,4388,8017442,0.69,1
2017-09-03,4388,8017442,7.64,11
2017-09-05,4388,8017442,4.86,7
2017-09-06,4388,8017442,2.78,4
2017-09-07,4388,8017442,2.08,3
2017-09-08,4388,8017442,1.39,2
2017-09-13,4388,8017442,5.54,8
2017-09-14,4388,8017442,5.54,8
2017-09-15,4388,8017442,13.89,20
