tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,3328,8010701,12.48,6
2017-01-02,3328,8010701,4.16,2
2017-01-03,3328,8010701,2.08,1
2017-01-04,3328,8010701,4.16,2
2017-01-05,3328,8010701,4.16,2
2017-01-06,3328,8010701,6.24,3
2017-01-07,3328,8010701,4.16,2
2017-01-08,3328,8010701,2.08,1
2017-01-09,3328,8010701,10.4,5
2017-01-10,3328,8010701,16.65,8
2017-01-12,3328,8010701,6.25,3
2017-01-13,3328,8010701,6.24,3
2017-01-14,3328,8010701,8.33,4
2017-01-15,3328,8010701,4.16,2
2017-01-16,3328,8010701,6.24,3
2017-01-17,3328,8010701,10.41,5
2017-01-18,3328,8010701,10.41,5
2017-01-19,3328,8010701,8.33,4
2017-01-20,3328,8010701,4.16,2
2017-01-21,3328,8010701,8.32,4
2017-01-22,3328,8010701,4.16,2
2017-01-23,3328,8010701,6.24,3
2017-01-24,3328,8010701,6.24,3
2017-01-25,3328,8010701,6.24,3
2017-01-26,3328,8010701,4.16,2
2017-01-27,3328,8010701,8.33,4
2017-01-28,3328,8010701,12.49,6
2017-01-29,3328,8010701,10.41,5
2017-01-31,3328,8010701,6.24,3
2017-02-01,3328,8010701,4.16,2
2017-02-02,3328,8010701,6.24,3
2017-02-03,3328,8010701,10.4,5
2017-02-04,3328,8010701,12.5,6
2017-02-05,3328,8010701,18.74,9
2017-02-06,3328,8010701,2.08,1
2017-02-07,3328,8010701,4.16,2
2017-02-08,3328,8010701,10.41,5
2017-02-09,3328,8010701,8.32,4
2017-02-10,3328,8010701,12.49,6
2017-02-11,3328,8010701,8.32,4
2017-02-12,3328,8010701,8.32,4
2017-02-13,3328,8010701,8.32,4
2017-02-14,3328,8010701,4.17,2
2017-02-15,3328,8010701,6.25,3
2017-02-16,3328,8010701,4.16,2
2017-02-17,3328,8010701,18.73,9
2017-02-18,3328,8010701,8.32,4
2017-02-19,3328,8010701,10.4,5
2017-02-20,3328,8010701,2.08,1
2017-02-21,3328,8010701,2.08,1
2017-02-22,3328,8010701,6.24,3
2017-02-23,3328,8010701,6.24,3
2017-02-24,3328,8010701,8.33,4
2017-02-25,3328,8010701,8.32,4
2017-02-26,3328,8010701,20.81,10
