tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,2189,8011740,0.93,1
2017-01-02,2189,8011740,7.41,8
2017-01-03,2189,8011740,8.35,9
2017-01-04,2189,8011740,3.72,4
2017-01-05,2189,8011740,13.89,15
2017-01-06,2189,8011740,5.55,6
2017-01-07,2189,8011740,13.9,15
2017-01-08,2189,8011740,5.58,6
2017-01-09,2189,8011740,2.78,3
2017-01-10,2189,8011740,5.57,6
2017-01-11,2189,8011740,16.68,18
2017-01-12,2189,8011740,10.19,11
2017-01-13,2189,8011740,3.71,4
2017-01-14,2189,8011740,4.63,5
2017-01-15,2189,8011740,14.84,16
2017-01-16,2189,8011740,9.28,10
2017-01-17,2189,8011740,5.57,6
2017-01-18,2189,8011740,12.96,14
2017-01-19,2189,8011740,5.57,6
2017-01-20,2189,8011740,7.42,8
2017-01-21,2189,8011740,9.28,10
2017-01-22,2189,8011740,15.76,17
2017-01-23,2189,8011740,0.93,1
2017-01-24,2189,8011740,1.85,2
2017-01-25,2189,8011740,13.89,15
2017-01-26,2189,8011740,4.63,5
2017-01-27,2189,8011740,8.34,9
2017-01-28,2189,8011740,6.49,7
2017-01-29,2189,8011740,16.66,18
2017-01-30,2189,8011740,37.97,41
2017-01-31,2189,8011740,7.41,8
2017-02-01,2189,8011740,6.49,7
2017-02-02,2189,8011740,9.27,10
2017-02-03,2189,8011740,22.25,24
2017-02-04,2189,8011740,12.97,14
2017-02-05,2189,8011740,15.78,17
2017-02-06,2189,8011740,4.65,5
2017-02-07,2189,8011740,3.71,4
2017-02-08,2189,8011740,4.64,5
2017-02-09,2189,8011740,2.79,3
2017-02-10,2189,8011740,8.34,9
2017-02-11,2189,8011740,3.71,4
2017-02-12,2189,8011740,11.12,12
2017-02-13,2189,8011740,53.71,58
2017-02-14,2189,8011740,2.78,3
2017-02-15,2189,8011740,10.2,11
2017-02-16,2189,8011740,11.13,12
2017-02-17,2189,8011740,6.49,7
2017-02-18,2189,8011740,13.0,14
2017-02-19,2189,8011740,14.84,16
2017-02-20,2189,8011740,6.51,7
2017-02-21,2189,8011740,15.77,17
2017-02-22,2189,8011740,12.06,13
2017-02-23,2189,8011740,13.92,15
2017-02-24,2189,8011740,9.28,10
