tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,4816,8011001,1.53,1
2017-01-02,4816,8011001,3.06,2
2017-01-03,4816,8011001,1.53,1
2017-01-04,4816,8011001,3.06,2
2017-01-05,4816,8011001,3.06,2
2017-01-06,4816,8011001,1.53,1
2017-01-14,4816,8011001,1.53,1
2017-01-20,4816,8011001,1.71,1
2017-01-22,4816,8011001,10.28,6
2017-01-24,4816,8011001,1.71,1
2017-01-25,4816,8011001,1.71,1
2017-01-29,4816,8011001,3.43,2
2017-01-31,4816,8011001,1.71,1
2017-02-01,4816,8011001,3.42,2
2017-02-03,4816,8011001,6.86,4
2017-02-05,4816,8011001,3.43,2
2017-02-06,4816,8011001,3.43,2
2017-02-07,4816,8011001,3.42,2
2017-02-08,4816,8011001,1.71,1
2017-02-09,4816,8011001,1.71,1
2017-02-10,4816,8011001,5.14,3
2017-02-11,4816,8011001,1.71,1
2017-02-12,4816,8011001,3.42,2
2017-02-13,4816,8011001,6.86,4
2017-02-15,4816,8011001,8.57,5
2017-02-16,4816,8011001,1.71,1
2017-02-17,4816,8011001,6.85,4
2017-02-18,4816,8011001,1.71,1
2017-02-19,4816,8011001,1.71,1
2017-02-20,4816,8011001,3.42,2
2017-02-21,4816,8011001,3.43,2
2017-02-23,4816,8011001,3.42,2
2017-02-25,4816,8011001,3.43,2
2017-02-27,4816,8011001,1.71,1
2017-03-01,4816,8011001,6.84,4
2017-03-03,4816,8011001,3.42,2
2017-03-04,4816,8011001,3.42,2
2017-03-05,4816,8011001,3.43,2
2017-03-07,4816,8011001,8.56,5
2017-03-08,4816,8011001,3.43,2
2017-03-12,4816,8011001,1.71,1
2017-03-16,4816,8011001,6.84,4
2017-03-17,4816,8011001,3.42,2
2017-03-19,4816,8011001,3.42,2
2017-03-20,4816,8011001,3.42,2
2017-03-21,4816,8011001,1.71,1
2017-03-22,4816,8011001,6.85,4
2017-03-23,4816,8011001,11.98,7
2017-03-24,4816,8011001,3.42,2
2017-03-25,4816,8011001,1.71,1
2017-03-26,4816,8011001,1.71,1
2017-03-27,4816,8011001,1.71,1
2017-03-29,4816,8011001,3.42,2
