tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,3349,8011605,6.48,2
2017-01-04,3349,8011605,3.01,1
2017-01-09,3349,8011605,3.47,1
2017-01-13,3349,8011605,3.47,1
2017-01-14,3349,8011605,3.47,1
2017-01-17,3349,8011605,3.47,1
2017-01-18,3349,8011605,3.47,1
2017-01-19,3349,8011605,3.01,1
2017-01-20,3349,8011605,15.51,5
2017-01-26,3349,8011605,9.03,3
2017-01-28,3349,8011605,3.01,1
2017-02-04,3349,8011605,3.47,1
2017-02-08,3349,8011605,3.47,1
2017-02-09,3349,8011605,3.47,1
2017-02-10,3349,8011605,3.47,1
2017-02-11,3349,8011605,3.47,1
2017-02-12,3349,8011605,3.47,1
2017-02-13,3349,8011605,3.47,1
2017-02-14,3349,8011605,3.47,1
2017-02-15,3349,8011605,3.47,1
2017-02-18,3349,8011605,3.47,1
2017-02-19,3349,8011605,6.94,2
2017-03-08,3349,8011605,3.01,1
2017-03-11,3349,8011605,6.02,2
2017-03-16,3349,8011605,3.47,1
2017-03-19,3349,8011605,3.47,1
2017-03-20,3349,8011605,3.47,1
2017-03-21,3349,8011605,3.47,1
2017-04-01,3349,8011605,3.01,1
2017-04-11,3349,8011605,3.01,1
2017-04-13,3349,8011605,2.78,1
2017-04-14,3349,8011605,2.78,1
2017-04-17,3349,8011605,5.56,2
2017-04-29,3349,8011605,3.66,1
2017-05-13,3349,8011605,7.32,2
2017-05-20,3349,8011605,7.32,2
2017-05-24,3349,8011605,3.66,1
2017-05-26,3349,8011605,3.66,1
2017-05-27,3349,8011605,7.32,2
2017-05-29,3349,8011605,7.31,2
2017-06-02,3349,8011605,3.66,1
2017-06-03,3349,8011605,3.66,1
2017-06-08,3349,8011605,3.66,1
2017-06-09,3349,8011605,7.32,2
2017-06-13,3349,8011605,3.66,1
2017-06-15,3349,8011605,10.97,3
2017-06-17,3349,8011605,3.66,1
2017-06-18,3349,8011605,3.66,1
2017-06-22,3349,8011605,3.66,1
2017-06-23,3349,8011605,3.66,1
2017-06-27,3349,8011605,3.66,1
2017-07-12,3349,8011605,3.66,1
2017-07-29,3349,8011605,3.66,1
2017-07-30,3349,8011605,3.66,1
2017-08-01,3349,8011605,7.32,2
2017-08-05,3349,8011605,7.32,2
2017-08-06,3349,8011605,7.32,2
2017-08-07,3349,8011605,3.66,1
2017-08-09,3349,8011605,3.66,1
2017-08-10,3349,8011605,3.66,1
2017-08-15,3349,8011605,7.32,2
2017-08-19,3349,8011605,3.66,1
2017-08-21,3349,8011605,3.66,1
2017-08-23,3349,8011605,3.66,1
2017-08-24,3349,8011605,3.66,1
2017-08-29,3349,8011605,3.66,1
2017-09-04,3349,8011605,3.66,1
2017-09-08,3349,8011605,3.66,1
2017-09-09,3349,8011605,3.66,1
2017-09-15,3349,8011605,3.66,1
2017-09-20,3349,8011605,3.66,1
2017-09-25,3349,8011605,3.66,1
2017-09-28,3349,8011605,3.66,1
2017-09-29,3349,8011605,3.66,1
2017-09-30,3349,8011605,3.66,1
2017-10-02,3349,8011605,3.66,1
2017-10-04,3349,8011605,7.32,2
2017-10-06,3349,8011605,3.47,1
2017-10-14,3349,8011605,3.47,1
2017-10-15,3349,8011605,3.47,1
2017-10-17,3349,8011605,3.47,1
2017-10-18,3349,8011605,6.94,2
2017-10-22,3349,8011605,10.98,3
2017-10-24,3349,8011605,3.66,1
2017-10-27,3349,8011605,3.66,1
2017-10-29,3349,8011605,3.66,1
2017-11-03,3349,8011605,3.47,1
2017-11-12,3349,8011605,3.47,1
2017-11-14,3349,8011605,3.47,1
2017-11-19,3349,8011605,3.47,1
2017-11-22,3349,8011605,3.47,1
2017-11-27,3349,8011605,3.47,1
2017-12-01,3349,8011605,3.47,1
2017-12-03,3349,8011605,3.47,1
2017-12-08,3349,8011605,3.47,1
2017-12-16,3349,8011605,3.47,1
2017-12-17,3349,8011605,3.47,1
2017-12-21,3349,8011605,6.94,2
2017-12-23,3349,8011605,3.47,1
2017-12-25,3349,8011605,3.47,1
2017-12-28,3349,8011605,3.47,1
2017-12-29,3349,8011605,3.47,1
2017-12-31,3349,8011605,13.88,4
