tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,2177,8011740,13.89,15
2017-01-02,2177,8011740,2.78,3
2017-01-03,2177,8011740,3.71,4
2017-01-04,2177,8011740,2.78,3
2017-01-05,2177,8011740,2.78,3
2017-01-06,2177,8011740,2.78,3
2017-01-07,2177,8011740,14.82,16
2017-01-09,2177,8011740,2.78,3
2017-01-10,2177,8011740,5.55,6
2017-01-11,2177,8011740,4.64,5
2017-01-12,2177,8011740,6.49,7
2017-01-13,2177,8011740,12.05,13
2017-01-14,2177,8011740,18.52,20
2017-01-15,2177,8011740,0.93,1
2017-01-16,2177,8011740,10.19,11
2017-01-17,2177,8011740,16.67,18
2017-01-18,2177,8011740,14.82,16
2017-01-19,2177,8011740,3.71,4
2017-01-20,2177,8011740,5.55,6
2017-01-21,2177,8011740,3.71,4
2017-01-22,2177,8011740,4.63,5
2017-01-23,2177,8011740,3.7,4
2017-01-25,2177,8011740,0.93,1
2017-01-26,2177,8011740,6.49,7
2017-01-28,2177,8011740,10.19,11
2017-01-29,2177,8011740,12.03,13
2017-01-30,2177,8011740,12.97,14
2017-01-31,2177,8011740,5.56,6
2017-02-01,2177,8011740,3.71,4
2017-02-02,2177,8011740,10.18,11
2017-02-03,2177,8011740,9.26,10
2017-02-04,2177,8011740,7.4,8
2017-02-05,2177,8011740,19.45,21
2017-02-06,2177,8011740,8.34,9
2017-02-07,2177,8011740,37.04,40
2017-02-08,2177,8011740,5.56,6
2017-02-09,2177,8011740,14.81,16
2017-02-10,2177,8011740,12.97,14
2017-02-11,2177,8011740,7.4,8
2017-02-12,2177,8011740,19.46,21
2017-02-13,2177,8011740,4.63,5
2017-02-14,2177,8011740,8.33,9
2017-02-15,2177,8011740,7.41,8
2017-02-16,2177,8011740,21.31,23
2017-02-17,2177,8011740,10.19,11
2017-02-18,2177,8011740,3.71,4
2017-02-19,2177,8011740,11.11,12
2017-02-20,2177,8011740,18.53,20
2017-02-21,2177,8011740,3.71,4
2017-02-22,2177,8011740,6.49,7
2017-02-23,2177,8011740,18.53,20
2017-02-24,2177,8011740,23.15,25
2017-02-25,2177,8011740,8.34,9
2017-02-26,2177,8011740,21.31,23
2017-02-27,2177,8011740,26.86,29
2017-03-14,2177,8011740,3.7,4
2017-03-15,2177,8011740,9.26,10
2017-03-16,2177,8011740,11.11,12
2017-03-17,2177,8011740,5.56,6
2017-03-19,2177,8011740,26.86,29
2017-03-20,2177,8011740,12.05,13
2017-03-21,2177,8011740,30.58,33
2017-03-22,2177,8011740,8.34,9
2017-03-23,2177,8011740,16.67,18
2017-03-24,2177,8011740,12.99,14
2017-03-25,2177,8011740,10.21,11
2017-03-26,2177,8011740,17.59,19
2017-03-27,2177,8011740,7.41,8
2017-03-28,2177,8011740,17.61,19
2017-03-29,2177,8011740,16.67,18
2017-03-30,2177,8011740,19.47,21
2017-03-31,2177,8011740,1.86,2
2017-04-01,2177,8011740,9.26,10
2017-04-02,2177,8011740,2.79,3
2017-04-03,2177,8011740,26.86,29
2017-04-04,2177,8011740,14.83,16
2017-04-05,2177,8011740,27.79,30
2017-04-06,2177,8011740,12.07,13
2017-04-07,2177,8011740,15.75,17
2017-04-08,2177,8011740,14.82,16
2017-04-09,2177,8011740,10.2,11
2017-04-10,2177,8011740,8.34,9
2017-04-11,2177,8011740,4.63,5
2017-04-12,2177,8011740,5.56,6
2017-04-13,2177,8011740,6.48,7
2017-04-14,2177,8011740,4.63,5
2017-04-15,2177,8011740,8.35,9
2017-04-16,2177,8011740,2.78,3
2017-04-17,2177,8011740,8.34,9
2017-04-18,2177,8011740,8.35,9
2017-04-19,2177,8011740,0.93,1
2017-04-20,2177,8011740,12.05,13
2017-04-21,2177,8011740,2.78,3
2017-04-22,2177,8011740,11.11,12
2017-04-23,2177,8011740,14.82,16
2017-04-24,2177,8011740,12.06,13
2017-04-25,2177,8011740,8.36,9
2017-04-26,2177,8011740,6.49,7
2017-04-27,2177,8011740,8.34,9
2017-04-28,2177,8011740,5.56,6
2017-04-29,2177,8011740,9.26,10
2017-04-30,2177,8011740,12.05,13
2017-05-01,2177,8011740,10.19,11
2017-05-02,2177,8011740,10.2,11
2017-05-03,2177,8011740,1.86,2
2017-05-04,2177,8011740,6.49,7
2017-05-05,2177,8011740,22.22,24
2017-05-06,2177,8011740,13.89,15
2017-05-07,2177,8011740,4.63,5
2017-05-08,2177,8011740,4.63,5
2017-05-09,2177,8011740,24.07,26
2017-05-10,2177,8011740,4.64,5
2017-05-11,2177,8011740,3.72,4
2017-05-12,2177,8011740,14.83,16
2017-05-13,2177,8011740,12.04,13
2017-05-14,2177,8011740,19.45,21
2017-05-15,2177,8011740,5.57,6
2017-05-16,2177,8011740,5.0,6
2017-05-17,2177,8011740,14.17,17
2017-05-18,2177,8011740,1.66,2
2017-05-19,2177,8011740,24.99,30
2017-05-20,2177,8011740,2.5,3
2017-05-21,2177,8011740,6.66,8
2017-05-22,2177,8011740,11.66,14
2017-05-23,2177,8011740,9.99,12
2017-05-24,2177,8011740,5.83,7
2017-05-25,2177,8011740,5.0,6
2017-05-26,2177,8011740,10.0,12
2017-05-27,2177,8011740,2.5,3
2017-05-28,2177,8011740,11.67,14
2017-05-29,2177,8011740,5.0,6
2017-05-30,2177,8011740,15.0,18
2017-06-01,2177,8011740,3.33,4
2017-06-02,2177,8011740,5.84,7
2017-06-03,2177,8011740,2.5,3
2017-06-04,2177,8011740,2.5,3
2017-06-05,2177,8011740,10.0,12
2017-06-06,2177,8011740,10.0,12
2017-06-09,2177,8011740,11.66,14
2017-06-10,2177,8011740,16.66,20
2017-06-11,2177,8011740,3.33,4
2017-06-12,2177,8011740,3.33,4
2017-06-14,2177,8011740,2.5,3
2017-06-16,2177,8011740,3.33,4
2017-06-19,2177,8011740,5.83,7
2017-06-20,2177,8011740,4.17,5
2017-06-22,2177,8011740,9.99,12
2017-07-08,2177,8011740,3.47,3
2017-07-09,2177,8011740,11.58,10
2017-07-10,2177,8011740,6.94,6
2017-07-11,2177,8011740,9.27,8
2017-07-12,2177,8011740,15.04,13
2017-07-13,2177,8011740,5.79,5
2017-07-14,2177,8011740,3.47,3
2017-07-17,2177,8011740,4.63,4
2017-07-21,2177,8011740,11.57,10
2017-07-22,2177,8011740,1.16,1
2017-07-24,2177,8011740,1.16,1
2017-07-26,2177,8011740,20.82,18
2017-07-27,2177,8011740,5.78,5
2017-07-28,2177,8011740,3.47,3
2017-07-29,2177,8011740,11.57,10
2017-07-30,2177,8011740,4.62,4
2017-07-31,2177,8011740,11.57,10
2017-08-10,2177,8011740,6.95,6
2017-08-11,2177,8011740,9.26,8
2017-08-12,2177,8011740,12.73,11
2017-08-19,2177,8011740,12.74,11
2017-08-20,2177,8011740,4.63,4
2017-08-22,2177,8011740,2.31,2
2017-08-23,2177,8011740,4.63,4
2017-08-24,2177,8011740,2.32,2
2017-08-25,2177,8011740,5.79,5
2017-08-26,2177,8011740,6.95,6
2017-08-27,2177,8011740,1.16,1
2017-08-28,2177,8011740,17.36,15
2017-08-29,2177,8011740,1.16,1
2017-08-30,2177,8011740,8.1,7
2017-09-05,2177,8011740,11.57,10
2017-09-06,2177,8011740,10.41,9
2017-09-07,2177,8011740,4.63,4
2017-09-08,2177,8011740,2.31,2
2017-09-09,2177,8011740,8.1,7
2017-09-10,2177,8011740,18.53,16
2017-09-16,2177,8011740,6.95,6
2017-09-17,2177,8011740,17.36,15
2017-09-19,2177,8011740,1.16,1
