tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-03,3328,8011740,0.93,1
2017-01-13,3328,8011740,9.26,10
2017-01-16,3328,8011740,1.85,2
2017-01-21,3328,8011740,3.7,4
2017-01-25,3328,8011740,0.93,1
2017-01-26,3328,8011740,1.85,2
2017-01-28,3328,8011740,2.78,3
2017-01-29,3328,8011740,0.93,1
2017-02-01,3328,8011740,1.85,2
2017-02-02,3328,8011740,1.85,2
2017-02-03,3328,8011740,1.86,2
2017-02-06,3328,8011740,0.93,1
2017-02-07,3328,8011740,2.78,3
2017-02-09,3328,8011740,1.85,2
2017-02-12,3328,8011740,0.93,1
2017-02-18,3328,8011740,3.72,4
2017-02-19,3328,8011740,4.64,5
2017-02-22,3328,8011740,4.63,5
2017-02-28,3328,8011740,3.7,4
2017-03-11,3328,8011740,1.85,2
2017-03-12,3328,8011740,1.86,2
2017-03-15,3328,8011740,2.78,3
2017-03-16,3328,8011740,6.48,7
2017-03-17,3328,8011740,0.93,1
2017-03-18,3328,8011740,8.33,9
2017-03-22,3328,8011740,1.85,2
2017-03-24,3328,8011740,8.33,9
2017-03-25,3328,8011740,4.63,5
2017-03-26,3328,8011740,7.41,8
2017-03-27,3328,8011740,2.78,3
2017-03-28,3328,8011740,3.71,4
2017-03-29,3328,8011740,2.78,3
2017-03-30,3328,8011740,1.85,2
2017-04-01,3328,8011740,7.41,8
2017-04-02,3328,8011740,12.97,14
2017-04-03,3328,8011740,3.71,4
2017-04-05,3328,8011740,2.78,3
2017-04-06,3328,8011740,1.85,2
2017-04-07,3328,8011740,7.41,8
2017-04-08,3328,8011740,3.71,4
2017-04-09,3328,8011740,1.85,2
2017-04-10,3328,8011740,2.78,3
2017-04-11,3328,8011740,1.85,2
2017-04-12,3328,8011740,1.85,2
2017-04-13,3328,8011740,0.93,1
2017-04-14,3328,8011740,3.7,4
2017-04-15,3328,8011740,10.19,11
2017-04-16,3328,8011740,2.78,3
2017-04-17,3328,8011740,3.7,4
2017-04-18,3328,8011740,3.7,4
2017-04-19,3328,8011740,2.78,3
2017-04-20,3328,8011740,2.78,3
2017-04-21,3328,8011740,2.78,3
2017-04-22,3328,8011740,1.85,2
2017-04-25,3328,8011740,0.93,1
2017-05-12,3328,8011740,1.86,2
2017-05-14,3328,8011740,3.71,4
2017-05-15,3328,8011740,2.78,3
2017-05-16,3328,8011740,2.5,3
2017-05-19,3328,8011740,6.67,8
2017-05-20,3328,8011740,1.67,2
2017-05-21,3328,8011740,1.67,2
2017-05-22,3328,8011740,2.5,3
2017-05-23,3328,8011740,4.16,5
2017-05-25,3328,8011740,1.67,2
2017-05-26,3328,8011740,0.83,1
2017-05-27,3328,8011740,5.0,6
2017-05-28,3328,8011740,5.0,6
2017-07-08,3328,8011740,3.47,3
2017-07-11,3328,8011740,3.47,3
2017-07-13,3328,8011740,2.31,2
2017-07-16,3328,8011740,2.31,2
2017-07-17,3328,8011740,1.16,1
2017-07-19,3328,8011740,1.16,1
2017-07-22,3328,8011740,1.16,1
2017-07-24,3328,8011740,2.31,2
2017-07-26,3328,8011740,1.16,1
2017-07-27,3328,8011740,4.63,4
2017-07-28,3328,8011740,3.47,3
2017-08-02,3328,8011740,4.62,4
