tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-06,4816,8011740,0.93,1
2017-01-11,4816,8011740,1.85,2
2017-01-13,4816,8011740,1.86,2
2017-01-16,4816,8011740,4.64,5
2017-01-23,4816,8011740,1.86,2
2017-01-25,4816,8011740,1.85,2
2017-01-27,4816,8011740,3.71,4
2017-02-01,4816,8011740,0.93,1
2017-02-02,4816,8011740,0.93,1
2017-02-03,4816,8011740,6.49,7
2017-02-04,4816,8011740,0.93,1
2017-02-05,4816,8011740,2.79,3
2017-02-07,4816,8011740,10.2,11
2017-02-08,4816,8011740,0.93,1
2017-02-10,4816,8011740,2.78,3
2017-02-16,4816,8011740,2.79,3
2017-02-17,4816,8011740,3.71,4
2017-02-20,4816,8011740,0.93,1
2017-02-22,4816,8011740,0.93,1
2017-02-23,4816,8011740,2.78,3
2017-02-25,4816,8011740,2.78,3
2017-02-26,4816,8011740,3.7,4
2017-02-27,4816,8011740,0.93,1
2017-02-28,4816,8011740,0.93,1
2017-03-03,4816,8011740,3.71,4
2017-03-07,4816,8011740,1.86,2
2017-03-08,4816,8011740,0.93,1
2017-03-13,4816,8011740,0.93,1
2017-03-15,4816,8011740,3.71,4
2017-03-16,4816,8011740,0.93,1
2017-03-17,4816,8011740,0.93,1
2017-03-18,4816,8011740,2.78,3
2017-03-19,4816,8011740,1.85,2
2017-03-20,4816,8011740,1.86,2
2017-03-21,4816,8011740,1.86,2
2017-03-22,4816,8011740,4.64,5
2017-03-23,4816,8011740,0.93,1
2017-03-24,4816,8011740,1.86,2
2017-03-29,4816,8011740,4.63,5
2017-03-30,4816,8011740,0.93,1
2017-03-31,4816,8011740,7.41,8
2017-04-02,4816,8011740,2.78,3
2017-04-03,4816,8011740,1.85,2
2017-04-05,4816,8011740,2.78,3
2017-04-06,4816,8011740,2.79,3
2017-04-07,4816,8011740,1.86,2
2017-04-08,4816,8011740,3.71,4
2017-04-09,4816,8011740,1.85,2
2017-04-10,4816,8011740,5.57,6
2017-04-11,4816,8011740,1.86,2
2017-04-12,4816,8011740,6.48,7
2017-04-13,4816,8011740,2.78,3
2017-04-19,4816,8011740,2.78,3
2017-04-20,4816,8011740,6.48,7
2017-04-22,4816,8011740,0.93,1
2017-04-23,4816,8011740,0.93,1
2017-04-24,4816,8011740,4.63,5
2017-04-25,4816,8011740,5.56,6
2017-04-26,4816,8011740,4.63,5
2017-04-27,4816,8011740,1.86,2
2017-04-28,4816,8011740,2.78,3
2017-04-29,4816,8011740,1.86,2
2017-04-30,4816,8011740,0.93,1
2017-05-02,4816,8011740,2.79,3
2017-05-03,4816,8011740,0.93,1
2017-05-04,4816,8011740,1.86,2
2017-05-05,4816,8011740,0.93,1
2017-05-07,4816,8011740,0.93,1
2017-05-08,4816,8011740,1.85,2
2017-05-09,4816,8011740,2.78,3
2017-05-11,4816,8011740,1.86,2
2017-05-16,4816,8011740,3.33,4
2017-05-17,4816,8011740,0.83,1
2017-05-18,4816,8011740,0.83,1
2017-05-29,4816,8011740,2.49,3
2017-05-31,4816,8011740,2.5,3
2017-06-02,4816,8011740,1.67,2
2017-06-05,4816,8011740,1.67,2
2017-06-06,4816,8011740,0.83,1
2017-06-07,4816,8011740,1.66,2
2017-06-09,4816,8011740,0.83,1
2017-06-10,4816,8011740,0.83,1
2017-06-12,4816,8011740,3.32,4
2017-06-13,4816,8011740,0.83,1
2017-06-19,4816,8011740,0.83,1
2017-06-21,4816,8011740,4.17,5
2017-06-22,4816,8011740,0.83,1
2017-06-24,4816,8011740,2.5,3
2017-07-05,4816,8011740,1.16,1
2017-07-14,4816,8011740,1.16,1
2017-07-15,4816,8011740,1.16,1
2017-07-17,4816,8011740,2.32,2
2017-07-18,4816,8011740,4.63,4
2017-07-19,4816,8011740,1.16,1
2017-07-20,4816,8011740,1.16,1
2017-07-21,4816,8011740,1.16,1
2017-07-22,4816,8011740,2.32,2
2017-07-23,4816,8011740,1.16,1
2017-07-25,4816,8011740,8.1,7
2017-07-27,4816,8011740,2.32,2
2017-07-28,4816,8011740,3.48,3
2017-07-31,4816,8011740,10.42,9
2017-08-01,4816,8011740,3.48,3
2017-08-02,4816,8011740,3.48,3
2017-08-03,4816,8011740,2.32,2
2017-08-07,4816,8011740,3.48,3
2017-08-08,4816,8011740,2.32,2
2017-08-09,4816,8011740,1.16,1
2017-08-10,4816,8011740,4.63,4
2017-08-11,4816,8011740,3.47,3
2017-08-13,4816,8011740,1.16,1
2017-08-14,4816,8011740,3.48,3
2017-08-15,4816,8011740,2.32,2
2017-08-16,4816,8011740,3.47,3
2017-08-17,4816,8011740,2.32,2
2017-08-18,4816,8011740,5.8,5
2017-08-19,4816,8011740,6.95,6
2017-08-20,4816,8011740,1.16,1
2017-08-21,4816,8011740,2.32,2
2017-08-22,4816,8011740,6.95,6
2017-08-23,4816,8011740,4.64,4
2017-08-24,4816,8011740,3.48,3
2017-08-25,4816,8011740,3.48,3
2017-08-28,4816,8011740,1.16,1
2017-08-29,4816,8011740,5.78,5
2017-08-30,4816,8011740,1.16,1
2017-09-04,4816,8011740,1.16,1
2017-09-05,4816,8011740,1.16,1
2017-09-06,4816,8011740,1.16,1
2017-09-07,4816,8011740,5.79,5
