tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,3349,8011740,1.85,2
2017-01-06,3349,8011740,1.86,2
2017-01-07,3349,8011740,1.86,2
2017-01-08,3349,8011740,0.93,1
2017-01-09,3349,8011740,1.85,2
2017-01-10,3349,8011740,1.85,2
2017-01-11,3349,8011740,0.93,1
2017-01-12,3349,8011740,3.71,4
2017-01-16,3349,8011740,3.7,4
2017-01-17,3349,8011740,3.7,4
2017-01-18,3349,8011740,4.63,5
2017-01-20,3349,8011740,2.78,3
2017-01-21,3349,8011740,1.85,2
2017-01-23,3349,8011740,3.71,4
2017-01-24,3349,8011740,0.93,1
2017-01-27,3349,8011740,1.85,2
2017-01-29,3349,8011740,3.71,4
2017-01-30,3349,8011740,0.93,1
2017-01-31,3349,8011740,1.85,2
2017-02-01,3349,8011740,8.34,9
2017-02-02,3349,8011740,0.93,1
2017-02-03,3349,8011740,6.48,7
2017-02-05,3349,8011740,1.85,2
2017-02-06,3349,8011740,7.41,8
2017-02-07,3349,8011740,1.86,2
2017-02-08,3349,8011740,5.56,6
2017-02-09,3349,8011740,2.78,3
2017-02-10,3349,8011740,4.64,5
2017-02-13,3349,8011740,2.78,3
2017-02-14,3349,8011740,1.85,2
2017-02-16,3349,8011740,0.93,1
2017-02-17,3349,8011740,0.93,1
2017-02-18,3349,8011740,5.56,6
2017-02-19,3349,8011740,0.93,1
2017-02-20,3349,8011740,7.4,8
2017-02-23,3349,8011740,0.93,1
2017-02-25,3349,8011740,3.7,4
2017-02-26,3349,8011740,1.85,2
2017-02-27,3349,8011740,1.86,2
2017-03-01,3349,8011740,2.78,3
2017-03-02,3349,8011740,0.93,1
2017-03-03,3349,8011740,4.63,5
2017-03-04,3349,8011740,8.33,9
2017-03-08,3349,8011740,15.74,17
2017-03-19,3349,8011740,10.19,11
2017-03-21,3349,8011740,0.93,1
2017-03-22,3349,8011740,1.85,2
2017-03-23,3349,8011740,3.7,4
2017-03-25,3349,8011740,2.78,3
2017-03-26,3349,8011740,1.86,2
2017-03-27,3349,8011740,4.64,5
2017-03-28,3349,8011740,2.78,3
2017-03-29,3349,8011740,1.86,2
2017-03-30,3349,8011740,4.63,5
2017-04-01,3349,8011740,5.55,6
2017-04-02,3349,8011740,2.79,3
2017-04-03,3349,8011740,1.86,2
2017-04-04,3349,8011740,5.56,6
2017-04-05,3349,8011740,2.79,3
2017-04-06,3349,8011740,1.86,2
2017-04-07,3349,8011740,1.86,2
2017-04-08,3349,8011740,12.05,13
2017-04-10,3349,8011740,2.78,3
2017-04-11,3349,8011740,0.93,1
2017-04-13,3349,8011740,2.79,3
2017-04-14,3349,8011740,4.64,5
2017-04-15,3349,8011740,3.7,4
2017-04-17,3349,8011740,2.78,3
2017-04-19,3349,8011740,21.3,23
2017-04-23,3349,8011740,0.93,1
2017-04-24,3349,8011740,0.93,1
2017-04-25,3349,8011740,0.93,1
2017-04-27,3349,8011740,3.71,4
2017-04-28,3349,8011740,0.93,1
2017-04-29,3349,8011740,1.85,2
2017-05-01,3349,8011740,0.93,1
2017-05-02,3349,8011740,3.71,4
2017-05-03,3349,8011740,4.63,5
2017-05-04,3349,8011740,2.78,3
2017-05-05,3349,8011740,5.56,6
2017-05-06,3349,8011740,18.52,20
2017-05-08,3349,8011740,0.93,1
2017-05-13,3349,8011740,12.05,13
2017-05-14,3349,8011740,2.78,3
2017-05-15,3349,8011740,1.86,2
2017-05-16,3349,8011740,2.5,3
2017-05-18,3349,8011740,5.0,6
2017-05-20,3349,8011740,0.83,1
2017-05-22,3349,8011740,6.67,8
2017-05-24,3349,8011740,2.5,3
2017-05-25,3349,8011740,3.33,4
2017-05-26,3349,8011740,3.33,4
2017-05-29,3349,8011740,2.5,3
2017-05-31,3349,8011740,5.83,7
2017-06-01,3349,8011740,4.17,5
2017-06-03,3349,8011740,6.65,8
2017-06-04,3349,8011740,0.83,1
2017-06-05,3349,8011740,0.83,1
2017-06-06,3349,8011740,1.66,2
2017-06-07,3349,8011740,0.83,1
2017-06-09,3349,8011740,2.5,3
2017-06-10,3349,8011740,5.84,7
2017-06-11,3349,8011740,4.17,5
2017-06-12,3349,8011740,1.67,2
2017-06-17,3349,8011740,1.67,2
2017-07-09,3349,8011740,3.47,3
2017-07-10,3349,8011740,4.63,4
2017-07-12,3349,8011740,5.79,5
2017-07-13,3349,8011740,11.57,10
2017-07-14,3349,8011740,2.32,2
2017-07-15,3349,8011740,10.41,9
2017-07-16,3349,8011740,1.16,1
2017-07-18,3349,8011740,1.16,1
2017-07-19,3349,8011740,2.32,2
2017-07-20,3349,8011740,1.16,1
2017-07-21,3349,8011740,6.95,6
2017-07-22,3349,8011740,3.47,3
2017-07-23,3349,8011740,2.32,2
2017-07-25,3349,8011740,1.16,1
2017-07-26,3349,8011740,3.47,3
2017-07-29,3349,8011740,2.32,2
2017-08-01,3349,8011740,1.16,1
2017-08-03,3349,8011740,1.16,1
2017-08-04,3349,8011740,3.47,3
2017-08-05,3349,8011740,11.56,10
2017-08-06,3349,8011740,4.63,4
2017-08-07,3349,8011740,2.32,2
2017-08-08,3349,8011740,1.16,1
2017-08-09,3349,8011740,9.24,8
2017-08-10,3349,8011740,1.16,1
2017-08-11,3349,8011740,5.79,5
2017-08-12,3349,8011740,5.78,5
2017-08-13,3349,8011740,4.63,4
2017-08-14,3349,8011740,6.95,6
2017-08-15,3349,8011740,6.94,6
2017-08-17,3349,8011740,3.47,3
2017-08-18,3349,8011740,4.64,4
2017-08-19,3349,8011740,4.63,4
2017-08-20,3349,8011740,11.58,10
2017-08-21,3349,8011740,4.63,4
2017-08-22,3349,8011740,5.79,5
2017-08-23,3349,8011740,5.79,5
2017-08-24,3349,8011740,10.42,9
2017-08-25,3349,8011740,5.79,5
2017-08-26,3349,8011740,2.31,2
2017-08-28,3349,8011740,2.31,2
2017-08-29,3349,8011740,3.48,3
2017-08-30,3349,8011740,2.32,2
2017-08-31,3349,8011740,4.62,4
2017-09-02,3349,8011740,4.62,4
2017-09-03,3349,8011740,1.16,1
2017-09-04,3349,8011740,4.63,4
2017-09-05,3349,8011740,2.32,2
2017-09-06,3349,8011740,2.31,2
2017-09-07,3349,8011740,1.16,1
2017-09-08,3349,8011740,10.42,9
2017-09-09,3349,8011740,9.25,8
2017-09-10,3349,8011740,3.47,3
2017-09-11,3349,8011740,2.32,2
2017-09-12,3349,8011740,3.47,3
2017-09-13,3349,8011740,9.27,8
2017-09-14,3349,8011740,2.32,2
2017-09-15,3349,8011740,3.47,3
2017-09-16,3349,8011740,17.36,15
2017-09-17,3349,8011740,4.63,4
2017-09-20,3349,8011740,1.16,1
2017-09-21,3349,8011740,2.32,2
2017-09-22,3349,8011740,6.95,6
2017-09-23,3349,8011740,13.9,12
2017-09-24,3349,8011740,10.42,9
2017-09-25,3349,8011740,2.32,2
2017-09-26,3349,8011740,5.79,5
2017-09-27,3349,8011740,3.47,3
2017-09-28,3349,8011740,15.04,13
2017-09-30,3349,8011740,12.73,11
2017-10-04,3349,8011740,2.32,2
2017-10-05,3349,8011740,5.78,5
2017-10-06,3349,8011740,4.63,4
2017-10-07,3349,8011740,1.16,1
2017-10-08,3349,8011740,8.1,7
2017-10-09,3349,8011740,8.11,7
2017-10-11,3349,8011740,1.16,1
2017-10-12,3349,8011740,5.79,5
2017-10-14,3349,8011740,8.1,7
2017-10-17,3349,8011740,4.63,4
2017-10-18,3349,8011740,1.16,1
2017-10-23,3349,8011740,2.31,2
2017-10-24,3349,8011740,5.79,5
2017-10-26,3349,8011740,5.78,5
2017-10-27,3349,8011740,10.41,9
2017-10-28,3349,8011740,10.42,9
2017-10-29,3349,8011740,5.79,5
2017-10-31,3349,8011740,19.66,17
2017-11-01,3349,8011740,4.63,4
2017-11-05,3349,8011740,6.94,6
2017-11-06,3349,8011740,3.47,3
2017-11-08,3349,8011740,8.11,7
2017-11-10,3349,8011740,1.16,1
2017-11-11,3349,8011740,4.62,4
2017-11-12,3349,8011740,8.11,7
2017-11-13,3349,8011740,5.78,5
2017-11-15,3349,8011740,1.16,1
2017-11-16,3349,8011740,1.16,1
2017-11-17,3349,8011740,2.31,2
2017-11-18,3349,8011740,2.32,2
2017-11-19,3349,8011740,1.16,1
2017-11-20,3349,8011740,3.47,3
2017-11-21,3349,8011740,6.94,6
2017-11-22,3349,8011740,6.94,6
2017-11-24,3349,8011740,6.95,6
2017-11-25,3349,8011740,2.31,2
2017-11-27,3349,8011740,5.79,5
2017-11-29,3349,8011740,4.63,4
2017-11-30,3349,8011740,9.26,8
2017-12-02,3349,8011740,3.48,3
2017-12-03,3349,8011740,2.31,2
2017-12-04,3349,8011740,6.94,6
2017-12-06,3349,8011740,5.79,5
2017-12-07,3349,8011740,3.48,3
2017-12-08,3349,8011740,8.1,7
2017-12-09,3349,8011740,1.16,1
2017-12-11,3349,8011740,4.63,4
2017-12-13,3349,8011740,2.32,2
2017-12-15,3349,8011740,1.16,1
2017-12-16,3349,8011740,3.47,3
2017-12-17,3349,8011740,12.73,11
2017-12-19,3349,8011740,2.32,2
2017-12-20,3349,8011740,1.16,1
2017-12-23,3349,8011740,2.31,2
2017-12-25,3349,8011740,3.48,3
2017-12-26,3349,8011740,1.16,1
2017-12-27,3349,8011740,2.32,2
2017-12-28,3349,8011740,4.63,4
2017-12-29,3349,8011740,1.16,1
2017-12-30,3349,8011740,5.79,5
2017-12-31,3349,8011740,9.25,8
