tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,5136,8011605,3.47,1
2017-01-20,5136,8011605,3.47,1
2017-01-26,5136,8011605,3.47,1
2017-02-03,5136,8011605,3.47,1
2017-02-04,5136,8011605,3.47,1
2017-02-07,5136,8011605,3.47,1
2017-02-11,5136,8011605,3.47,1
2017-02-15,5136,8011605,6.94,2
2017-02-19,5136,8011605,13.88,4
2017-02-21,5136,8011605,10.41,3
2017-02-24,5136,8011605,3.47,1
2017-02-27,5136,8011605,3.47,1
2017-02-28,5136,8011605,6.94,2
2017-03-02,5136,8011605,3.47,1
2017-03-04,5136,8011605,9.03,3
2017-03-14,5136,8011605,3.47,1
2017-03-15,5136,8011605,3.47,1
2017-03-18,5136,8011605,3.47,1
2017-03-19,5136,8011605,6.94,2
2017-03-21,5136,8011605,13.88,4
2017-03-25,5136,8011605,6.94,2
2017-03-26,5136,8011605,6.94,2
2017-03-28,5136,8011605,3.47,1
2017-03-31,5136,8011605,3.47,1
2017-04-03,5136,8011605,3.47,1
2017-04-07,5136,8011605,3.01,1
2017-04-08,5136,8011605,3.01,1
2017-04-21,5136,8011605,3.47,1
2017-04-22,5136,8011605,3.47,1
2017-05-27,5136,8011605,3.66,1
2017-06-03,5136,8011605,3.66,1
2017-06-04,5136,8011605,7.32,2
2017-06-09,5136,8011605,3.66,1
2017-06-11,5136,8011605,14.63,4
2017-06-17,5136,8011605,3.66,1
2017-06-18,5136,8011605,7.31,2
2017-06-19,5136,8011605,3.66,1
2017-06-20,5136,8011605,10.98,3
2017-06-22,5136,8011605,3.66,1
2017-06-23,5136,8011605,3.66,1
2017-06-27,5136,8011605,3.66,1
2017-06-29,5136,8011605,7.32,2
2017-06-30,5136,8011605,7.32,2
2017-07-01,5136,8011605,14.64,4
2017-07-02,5136,8011605,21.95,6
2017-07-03,5136,8011605,32.94,9
2017-07-04,5136,8011605,3.66,1
2017-07-06,5136,8011605,3.66,1
2017-07-09,5136,8011605,3.66,1
2017-07-10,5136,8011605,7.32,2
2017-07-16,5136,8011605,3.66,1
2017-07-21,5136,8011605,3.66,1
2017-07-25,5136,8011605,7.31,2
2017-07-27,5136,8011605,3.66,1
2017-07-28,5136,8011605,3.66,1
2017-07-29,5136,8011605,3.66,1
2017-07-31,5136,8011605,3.66,1
2017-08-01,5136,8011605,7.32,2
2017-08-02,5136,8011605,3.66,1
2017-08-03,5136,8011605,3.66,1
2017-08-04,5136,8011605,3.66,1
2017-08-06,5136,8011605,3.66,1
2017-08-07,5136,8011605,3.66,1
2017-08-08,5136,8011605,10.98,3
2017-08-09,5136,8011605,3.66,1
2017-08-10,5136,8011605,7.32,2
2017-08-11,5136,8011605,3.66,1
2017-08-13,5136,8011605,14.64,4
2017-08-14,5136,8011605,7.32,2
