tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-02,2177,8011605,9.03,3
2017-01-04,2177,8011605,3.01,1
2017-01-05,2177,8011605,3.47,1
2017-01-06,2177,8011605,3.47,1
2017-01-07,2177,8011605,10.41,3
2017-01-08,2177,8011605,3.47,1
2017-01-09,2177,8011605,10.41,3
2017-01-12,2177,8011605,3.47,1
2017-01-18,2177,8011605,3.47,1
2017-01-19,2177,8011605,6.48,2
2017-01-20,2177,8011605,12.04,4
2017-01-21,2177,8011605,9.03,3
2017-01-22,2177,8011605,6.02,2
2017-01-23,2177,8011605,12.04,4
2017-01-25,2177,8011605,9.49,3
2017-01-26,2177,8011605,9.49,3
2017-01-27,2177,8011605,3.01,1
2017-02-03,2177,8011605,6.94,2
2017-02-04,2177,8011605,6.94,2
2017-02-05,2177,8011605,10.41,3
2017-02-06,2177,8011605,6.94,2
2017-02-07,2177,8011605,6.94,2
2017-02-09,2177,8011605,3.47,1
2017-02-10,2177,8011605,10.41,3
2017-02-11,2177,8011605,10.41,3
2017-02-13,2177,8011605,3.47,1
2017-02-15,2177,8011605,6.94,2
2017-02-19,2177,8011605,6.94,2
2017-02-21,2177,8011605,3.47,1
2017-02-22,2177,8011605,6.94,2
2017-02-23,2177,8011605,3.47,1
2017-02-24,2177,8011605,3.47,1
2017-03-01,2177,8011605,17.36,5
2017-03-02,2177,8011605,3.01,1
2017-03-04,2177,8011605,15.05,5
2017-03-07,2177,8011605,9.03,3
2017-03-08,2177,8011605,3.01,1
2017-03-10,2177,8011605,18.52,6
2017-03-11,2177,8011605,6.02,2
2017-03-12,2177,8011605,9.03,3
2017-03-13,2177,8011605,9.03,3
2017-03-14,2177,8011605,6.02,2
2017-03-15,2177,8011605,18.06,6
2017-03-16,2177,8011605,13.88,4
2017-03-17,2177,8011605,20.83,6
2017-03-18,2177,8011605,27.76,8
2017-03-19,2177,8011605,10.41,3
2017-03-20,2177,8011605,3.47,1
2017-03-21,2177,8011605,3.47,1
2017-03-22,2177,8011605,3.47,1
2017-03-23,2177,8011605,3.47,1
2017-03-25,2177,8011605,10.41,3
2017-03-27,2177,8011605,3.47,1
2017-03-28,2177,8011605,3.47,1
2017-03-29,2177,8011605,3.47,1
2017-03-30,2177,8011605,9.95,3
2017-03-31,2177,8011605,3.01,1
2017-04-01,2177,8011605,12.04,4
2017-04-02,2177,8011605,3.01,1
2017-04-06,2177,8011605,3.01,1
2017-04-07,2177,8011605,12.04,4
2017-04-08,2177,8011605,3.01,1
2017-04-09,2177,8011605,3.01,1
2017-04-12,2177,8011605,6.02,2
2017-04-13,2177,8011605,11.11,4
2017-04-15,2177,8011605,11.12,4
2017-04-16,2177,8011605,2.78,1
2017-04-17,2177,8011605,5.56,2
2017-04-18,2177,8011605,2.78,1
2017-04-19,2177,8011605,19.45,7
2017-04-22,2177,8011605,3.47,1
2017-04-24,2177,8011605,3.47,1
2017-04-26,2177,8011605,6.94,2
2017-04-28,2177,8011605,3.66,1
2017-04-29,2177,8011605,10.98,3
2017-05-01,2177,8011605,3.66,1
2017-05-03,2177,8011605,3.66,1
2017-05-04,2177,8011605,7.32,2
2017-05-05,2177,8011605,3.66,1
2017-05-09,2177,8011605,7.32,2
2017-05-10,2177,8011605,3.66,1
2017-05-11,2177,8011605,3.66,1
2017-05-12,2177,8011605,3.66,1
2017-05-13,2177,8011605,3.66,1
2017-05-14,2177,8011605,7.32,2
2017-05-15,2177,8011605,10.97,3
2017-05-16,2177,8011605,3.66,1
2017-05-17,2177,8011605,3.66,1
2017-05-19,2177,8011605,7.32,2
2017-05-20,2177,8011605,3.66,1
2017-05-21,2177,8011605,7.32,2
2017-05-22,2177,8011605,3.66,1
2017-05-23,2177,8011605,7.32,2
2017-05-24,2177,8011605,7.32,2
2017-05-26,2177,8011605,3.66,1
2017-05-27,2177,8011605,10.97,3
2017-05-29,2177,8011605,10.98,3
2017-05-30,2177,8011605,3.66,1
2017-06-01,2177,8011605,7.32,2
2017-06-02,2177,8011605,3.66,1
2017-06-04,2177,8011605,3.66,1
2017-06-05,2177,8011605,3.66,1
2017-06-08,2177,8011605,7.32,2
2017-06-09,2177,8011605,3.66,1
2017-06-10,2177,8011605,18.29,5
2017-06-11,2177,8011605,7.32,2
2017-06-12,2177,8011605,7.32,2
2017-06-13,2177,8011605,7.32,2
2017-06-15,2177,8011605,14.64,4
2017-06-16,2177,8011605,21.94,6
2017-06-17,2177,8011605,10.98,3
2017-06-18,2177,8011605,3.66,1
2017-06-19,2177,8011605,7.32,2
2017-06-20,2177,8011605,7.32,2
2017-06-21,2177,8011605,3.66,1
2017-06-22,2177,8011605,3.66,1
2017-06-23,2177,8011605,3.66,1
2017-06-24,2177,8011605,14.64,4
2017-06-25,2177,8011605,3.66,1
2017-06-28,2177,8011605,7.32,2
2017-06-30,2177,8011605,43.89,12
2017-07-10,2177,8011605,3.66,1
2017-07-11,2177,8011605,3.66,1
2017-07-13,2177,8011605,21.95,6
2017-07-14,2177,8011605,7.32,2
2017-07-15,2177,8011605,7.32,2
2017-07-16,2177,8011605,3.66,1
2017-07-17,2177,8011605,3.66,1
2017-07-18,2177,8011605,3.66,1
2017-07-19,2177,8011605,3.66,1
2017-07-21,2177,8011605,3.66,1
2017-07-22,2177,8011605,3.66,1
2017-07-23,2177,8011605,10.98,3
2017-07-26,2177,8011605,7.31,2
2017-07-27,2177,8011605,3.66,1
2017-07-28,2177,8011605,3.66,1
2017-07-29,2177,8011605,40.23,11
2017-08-02,2177,8011605,14.63,4
2017-08-04,2177,8011605,21.95,6
2017-08-05,2177,8011605,7.32,2
2017-08-06,2177,8011605,10.98,3
2017-08-07,2177,8011605,10.97,3
2017-08-09,2177,8011605,3.66,1
2017-08-10,2177,8011605,14.63,4
2017-08-11,2177,8011605,3.66,1
2017-08-12,2177,8011605,14.63,4
2017-08-13,2177,8011605,7.32,2
2017-08-14,2177,8011605,3.66,1
2017-08-15,2177,8011605,18.28,5
2017-08-16,2177,8011605,40.23,11
2017-08-22,2177,8011605,3.66,1
2017-08-23,2177,8011605,3.66,1
2017-08-24,2177,8011605,3.66,1
2017-08-25,2177,8011605,36.57,10
2017-08-29,2177,8011605,3.66,1
2017-08-30,2177,8011605,10.98,3
2017-08-31,2177,8011605,3.66,1
2017-09-02,2177,8011605,21.94,6
2017-09-07,2177,8011605,3.66,1
2017-09-08,2177,8011605,10.97,3
2017-09-09,2177,8011605,3.66,1
2017-09-10,2177,8011605,3.66,1
2017-09-15,2177,8011605,3.66,1
2017-09-17,2177,8011605,10.97,3
2017-09-18,2177,8011605,7.32,2
2017-09-19,2177,8011605,36.57,10
2017-09-21,2177,8011605,3.66,1
2017-09-22,2177,8011605,3.66,1
2017-09-28,2177,8011605,36.57,10
2017-10-02,2177,8011605,36.57,10
2017-10-07,2177,8011605,3.47,1
2017-10-08,2177,8011605,6.94,2
2017-10-10,2177,8011605,3.47,1
2017-10-13,2177,8011605,20.83,6
2017-10-20,2177,8011605,14.64,4
2017-10-21,2177,8011605,14.63,4
2017-10-22,2177,8011605,40.23,11
2017-10-23,2177,8011605,10.98,3
2017-10-27,2177,8011605,3.66,1
2017-10-31,2177,8011605,3.66,1
2017-11-02,2177,8011605,34.72,10
2017-11-03,2177,8011605,6.94,2
2017-11-04,2177,8011605,6.94,2
2017-11-05,2177,8011605,10.41,3
2017-11-07,2177,8011605,6.94,2
2017-11-08,2177,8011605,34.72,10
2017-11-09,2177,8011605,6.94,2
2017-11-11,2177,8011605,10.41,3
2017-11-13,2177,8011605,13.88,4
2017-11-14,2177,8011605,3.47,1
2017-11-15,2177,8011605,38.19,11
2017-11-16,2177,8011605,10.41,3
2017-11-17,2177,8011605,27.77,8
2017-11-18,2177,8011605,13.88,4
2017-11-21,2177,8011605,38.19,11
2017-11-22,2177,8011605,10.41,3
2017-11-23,2177,8011605,3.47,1
2017-11-24,2177,8011605,6.94,2
2017-11-25,2177,8011605,27.77,8
2017-11-26,2177,8011605,10.41,3
