tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2019-01-01,4388,8010701,24.8,8
2019-01-02,4388,8010701,3.1,1
2019-01-05,4388,8010701,6.2,2
2019-01-06,4388,8010701,3.1,1
2019-01-07,4388,8010701,3.1,1
2019-01-08,4388,8010701,6.2,2
2019-01-09,4388,8010701,9.3,3
2019-01-10,4388,8010701,6.2,2
2019-01-11,4388,8010701,6.2,2
2019-01-12,4388,8010701,9.3,3
2019-01-13,4388,8010701,12.4,4
2019-01-14,4388,8010701,15.5,5
2019-01-15,4388,8010701,9.3,3
2019-01-16,4388,8010701,6.2,2
2019-01-17,4388,8010701,3.1,1
2019-01-18,4388,8010701,6.2,2
2019-01-19,4388,8010701,9.3,3
2019-01-20,4388,8010701,18.6,6
2019-01-21,4388,8010701,9.3,3
2019-01-22,4388,8010701,9.3,3
2019-01-23,4388,8010701,6.2,2
2019-01-24,4388,8010701,6.2,2
2019-01-25,4388,8010701,9.3,3
2019-01-26,4388,8010701,24.81,8
2019-01-27,4388,8010701,6.2,2
2019-01-28,4388,8010701,3.1,1
2019-01-30,4388,8010701,9.3,3
2019-02-01,4388,8010701,12.4,4
2019-02-02,4388,8010701,6.2,2
2019-02-03,4388,8010701,9.3,3
2019-02-04,4388,8010701,12.4,4
2019-02-06,4388,8010701,3.1,1
2019-02-08,4388,8010701,3.1,1
2019-02-09,4388,8010701,6.2,2
2019-02-10,4388,8010701,3.1,1
2019-02-11,4388,8010701,12.4,4
2019-02-12,4388,8010701,9.3,3
2019-02-13,4388,8010701,12.4,4
2019-02-14,4388,8010701,2.32,1
2019-02-15,4388,8010701,10.85,4
2019-02-16,4388,8010701,13.17,5
2019-02-17,4388,8010701,14.71,6
2019-02-18,4388,8010701,2.32,1
2019-02-19,4388,8010701,4.64,2
2019-02-20,4388,8010701,4.64,2
2019-02-21,4388,8010701,9.3,3
2019-02-22,4388,8010701,5.42,2
2019-02-23,4388,8010701,11.62,5
2019-02-24,4388,8010701,4.64,2
2019-02-25,4388,8010701,10.84,4
2019-02-26,4388,8010701,4.64,2
2019-02-27,4388,8010701,4.64,2
2019-02-28,4388,8010701,24.8,8
2019-03-01,4388,8010701,15.5,5
2019-03-02,4388,8010701,9.3,3
2019-03-03,4388,8010701,21.71,7
2019-03-04,4388,8010701,15.5,5
2019-03-05,4388,8010701,9.3,3
2019-03-06,4388,8010701,3.1,1
2019-03-07,4388,8010701,15.5,5
2019-03-08,4388,8010701,9.3,3
2019-03-09,4388,8010701,15.5,5
2019-03-10,4388,8010701,21.7,7
2019-03-11,4388,8010701,3.1,1
2019-03-12,4388,8010701,15.5,5
2019-03-13,4388,8010701,3.1,1
2019-03-14,4388,8010701,15.5,5
2019-03-15,4388,8010701,15.5,5
2019-03-16,4388,8010701,6.2,2
2019-03-17,4388,8010701,6.2,2
2019-03-18,4388,8010701,15.5,5
2019-03-19,4388,8010701,15.5,5
2019-03-20,4388,8010701,3.1,1
2019-03-21,4388,8010701,12.4,4
2019-03-22,4388,8010701,9.3,3
2019-03-23,4388,8010701,6.2,2
2019-03-24,4388,8010701,6.2,2
2019-03-25,4388,8010701,24.81,8
2019-03-26,4388,8010701,15.5,5
2019-03-27,4388,8010701,12.4,4
2019-03-28,4388,8010701,3.1,1
2019-03-30,4388,8010701,3.1,1
2019-03-31,4388,8010701,9.3,3
2019-04-01,4388,8010701,11.97,4
2019-04-02,4388,8010701,6.2,2
2019-04-03,4388,8010701,8.87,3
2019-04-04,4388,8010701,3.1,1
2019-04-05,4388,8010701,9.3,3
2019-04-06,4388,8010701,6.2,2
2019-04-07,4388,8010701,3.1,1
2019-04-08,4388,8010701,9.3,3
2019-04-09,4388,8010701,6.2,2
2019-04-10,4388,8010701,9.3,3
2019-04-11,4388,8010701,6.2,2
2019-04-12,4388,8010701,6.2,2
2019-04-13,4388,8010701,6.2,2
2019-04-14,4388,8010701,17.74,6
2019-04-15,4388,8010701,3.1,1
2019-04-16,4388,8010701,9.3,3
2019-04-17,4388,8010701,6.2,2
2019-04-18,4388,8010701,5.42,2
2019-04-19,4388,8010701,12.38,5
2019-04-20,4388,8010701,2.32,1
2019-04-21,4388,8010701,9.29,4
2019-04-22,4388,8010701,7.74,3
2019-04-23,4388,8010701,12.38,5
2019-04-24,4388,8010701,3.1,1
2019-04-25,4388,8010701,13.16,5
2019-04-26,4388,8010701,6.97,3
2019-04-27,4388,8010701,6.96,3
2019-04-28,4388,8010701,5.42,2
2019-04-30,4388,8010701,12.39,5
2019-05-01,4388,8010701,12.38,5
2019-05-02,4388,8010701,6.48,2
2019-05-03,4388,8010701,12.96,4
2019-05-04,4388,8010701,6.48,2
2019-05-05,4388,8010701,9.72,3
2019-05-06,4388,8010701,16.2,5
2019-05-07,4388,8010701,3.24,1
2019-05-08,4388,8010701,16.2,5
2019-05-09,4388,8010701,3.24,1
2019-05-11,4388,8010701,6.48,2
2019-05-12,4388,8010701,22.68,7
2019-05-13,4388,8010701,6.48,2
2019-05-14,4388,8010701,3.24,1
2019-05-15,4388,8010701,3.24,1
2019-05-16,4388,8010701,6.48,2
2019-05-17,4388,8010701,22.68,7
2019-05-18,4388,8010701,12.96,4
2019-05-19,4388,8010701,6.48,2
2019-05-20,4388,8010701,6.48,2
2019-05-21,4388,8010701,6.48,2
2019-05-22,4388,8010701,12.96,4
2019-05-23,4388,8010701,16.2,5
2019-05-24,4388,8010701,9.72,3
2019-05-25,4388,8010701,6.48,2
2019-05-26,4388,8010701,16.2,5
2019-05-27,4388,8010701,6.48,2
2019-05-28,4388,8010701,9.72,3
2019-05-29,4388,8010701,6.48,2
2019-05-30,4388,8010701,16.2,5
2019-05-31,4388,8010701,6.48,2
2019-06-01,4388,8010701,16.2,5
2019-06-02,4388,8010701,9.72,3
2019-06-03,4388,8010701,6.48,2
2019-06-06,4388,8010701,19.44,6
2019-06-07,4388,8010701,6.48,2
2019-06-08,4388,8010701,9.72,3
2019-06-09,4388,8010701,12.96,4
2019-06-10,4388,8010701,12.96,4
2019-06-11,4388,8010701,9.72,3
2019-06-12,4388,8010701,22.68,7
2019-06-13,4388,8010701,3.24,1
2019-06-14,4388,8010701,9.72,3
2019-06-15,4388,8010701,3.24,1
2019-06-16,4388,8010701,6.48,2
2019-06-17,4388,8010701,6.48,2
2019-06-18,4388,8010701,19.44,6
2019-06-19,4388,8010701,6.48,2
2019-06-20,4388,8010701,9.72,3
2019-06-21,4388,8010701,16.2,5
2019-06-22,4388,8010701,16.2,5
2019-06-23,4388,8010701,9.72,3
2019-06-24,4388,8010701,9.72,3
2019-06-25,4388,8010701,3.24,1
2019-06-26,4388,8010701,12.96,4
2019-06-27,4388,8010701,13.88,4
2019-06-28,4388,8010701,13.88,4
2019-06-29,4388,8010701,9.72,3
2019-06-30,4388,8010701,16.2,5
2019-07-01,4388,8010701,3.24,1
2019-07-02,4388,8010701,16.2,5
2019-07-03,4388,8010701,9.72,3
2019-07-04,4388,8010701,22.68,7
2019-07-05,4388,8010701,9.72,3
2019-07-07,4388,8010701,3.24,1
2019-07-08,4388,8010701,12.96,4
2019-07-09,4388,8010701,29.16,9
2019-07-10,4388,8010701,9.72,3
2019-07-11,4388,8010701,17.35,5
2019-07-12,4388,8010701,13.88,4
2019-07-13,4388,8010701,10.41,3
2019-07-14,4388,8010701,13.88,4
2019-07-15,4388,8010701,6.94,2
2019-07-16,4388,8010701,13.88,4
2019-07-17,4388,8010701,6.94,2
2019-07-18,4388,8010701,13.88,4
2019-07-19,4388,8010701,10.41,3
2019-07-20,4388,8010701,6.94,2
2019-07-21,4388,8010701,6.94,2
2019-07-22,4388,8010701,13.88,4
2019-07-23,4388,8010701,20.82,6
2019-07-24,4388,8010701,13.88,4
2019-07-25,4388,8010701,17.35,5
2019-07-26,4388,8010701,6.94,2
2019-07-27,4388,8010701,10.41,3
2019-07-28,4388,8010701,13.88,4
2019-07-29,4388,8010701,6.94,2
2019-07-30,4388,8010701,17.35,5
2019-07-31,4388,8010701,20.82,6
2019-08-01,4388,8010701,6.94,2
2019-08-02,4388,8010701,10.41,3
2019-08-03,4388,8010701,6.94,2
2019-08-04,4388,8010701,10.41,3
2019-08-06,4388,8010701,31.23,9
2019-08-08,4388,8010701,6.94,2
2019-08-09,4388,8010701,10.41,3
2019-08-10,4388,8010701,6.94,2
2019-08-12,4388,8010701,13.88,4
2019-08-13,4388,8010701,3.47,1
2019-08-14,4388,8010701,10.41,3
2019-08-15,4388,8010701,6.48,2
2019-08-16,4388,8010701,9.72,3
2019-08-17,4388,8010701,3.24,1
2019-08-18,4388,8010701,3.24,1
2019-08-20,4388,8010701,3.24,1
2019-08-24,4388,8010701,12.96,4
2019-08-25,4388,8010701,22.68,7
2019-08-26,4388,8010701,19.44,6
2019-08-27,4388,8010701,16.2,5
2019-08-28,4388,8010701,29.16,9
2019-08-29,4388,8010701,10.41,3
2019-08-30,4388,8010701,13.88,4
2019-08-31,4388,8010701,24.29,7
2019-09-01,4388,8010701,13.88,4
2019-09-02,4388,8010701,17.35,5
2019-09-03,4388,8010701,13.88,4
2019-09-04,4388,8010701,17.35,5
2019-09-05,4388,8010701,6.94,2
2019-09-06,4388,8010701,6.94,2
2019-09-07,4388,8010701,13.88,4
2019-09-08,4388,8010701,17.35,5
2019-09-09,4388,8010701,34.7,10
2019-09-10,4388,8010701,17.35,5
2019-09-11,4388,8010701,20.82,6
2019-09-12,4388,8010701,20.82,6
2019-09-13,4388,8010701,10.41,3
2019-09-15,4388,8010701,24.29,7
2019-09-16,4388,8010701,17.35,5
2019-09-17,4388,8010701,10.41,3
2019-09-18,4388,8010701,17.35,5
2019-09-19,4388,8010701,6.94,2
2019-09-20,4388,8010701,17.35,5
2019-09-21,4388,8010701,6.94,2
2019-09-27,4388,8010701,10.41,3
2019-09-28,4388,8010701,17.35,5
2019-09-29,4388,8010701,20.82,6
2019-09-30,4388,8010701,13.88,4
2019-10-01,4388,8010701,6.94,2
2019-10-02,4388,8010701,17.35,5
2019-10-03,4388,8010701,20.82,6
2019-10-04,4388,8010701,6.94,2
2019-10-05,4388,8010701,20.82,6
2019-10-06,4388,8010701,6.94,2
2019-10-07,4388,8010701,10.41,3
2019-10-08,4388,8010701,10.41,3
2019-10-09,4388,8010701,10.41,3
2019-10-10,4388,8010701,3.47,1
2019-10-11,4388,8010701,6.94,2
2019-10-12,4388,8010701,20.82,6
2019-10-13,4388,8010701,6.94,2
2019-10-14,4388,8010701,10.41,3
2019-10-15,4388,8010701,10.41,3
2019-10-16,4388,8010701,9.72,3
2019-10-17,4388,8010701,12.96,4
2019-10-18,4388,8010701,6.48,2
2019-10-19,4388,8010701,3.24,1
2019-10-20,4388,8010701,19.44,6
2019-10-21,4388,8010701,9.72,3
2019-10-22,4388,8010701,3.24,1
2019-10-23,4388,8010701,6.48,2
2019-10-24,4388,8010701,16.2,5
2019-10-25,4388,8010701,22.68,7
2019-10-26,4388,8010701,3.24,1
2019-10-27,4388,8010701,6.48,2
2019-10-28,4388,8010701,22.68,7
2019-10-29,4388,8010701,12.96,4
2019-10-30,4388,8010701,19.44,6
2019-10-31,4388,8010701,16.2,5
2019-11-01,4388,8010701,12.96,4
2019-11-02,4388,8010701,19.44,6
2019-11-03,4388,8010701,9.72,3
2019-11-04,4388,8010701,6.48,2
2019-11-05,4388,8010701,19.44,6
2019-11-06,4388,8010701,6.48,2
2019-11-07,4388,8010701,16.2,5
2019-11-08,4388,8010701,22.68,7
2019-11-09,4388,8010701,6.48,2
2019-11-10,4388,8010701,9.72,3
2019-11-11,4388,8010701,6.48,2
2019-11-12,4388,8010701,16.2,5
2019-11-13,4388,8010701,12.96,4
2019-11-14,4388,8010701,3.24,1
2019-11-15,4388,8010701,9.72,3
2019-11-16,4388,8010701,16.2,5
2019-11-17,4388,8010701,3.24,1
2019-11-18,4388,8010701,6.48,2
2019-11-19,4388,8010701,6.48,2
2019-11-20,4388,8010701,3.24,1
2019-11-21,4388,8010701,3.24,1
2019-11-22,4388,8010701,9.72,3
2019-11-24,4388,8010701,19.44,6
2019-11-25,4388,8010701,3.24,1
2019-11-28,4388,8010701,12.96,4
2019-11-29,4388,8010701,19.44,6
2019-11-30,4388,8010701,16.2,5
2019-12-01,4388,8010701,9.72,3
2019-12-02,4388,8010701,12.96,4
2019-12-03,4388,8010701,6.48,2
2019-12-04,4388,8010701,16.2,5
2019-12-05,4388,8010701,9.72,3
2019-12-06,4388,8010701,6.48,2
2019-12-07,4388,8010701,3.24,1
2019-12-08,4388,8010701,3.24,1
2019-12-10,4388,8010701,3.24,1
2019-12-11,4388,8010701,3.24,1
2019-12-12,4388,8010701,3.24,1
2019-12-13,4388,8010701,3.24,1
2019-12-14,4388,8010701,12.96,4
2019-12-15,4388,8010701,3.24,1
2019-12-16,4388,8010701,6.48,2
2019-12-17,4388,8010701,16.2,5
2019-12-18,4388,8010701,16.2,5
2019-12-19,4388,8010701,3.24,1
2019-12-20,4388,8010701,3.24,1
2019-12-21,4388,8010701,22.68,7
2019-12-22,4388,8010701,29.16,9
2019-12-23,4388,8010701,6.48,2
2019-12-24,4388,8010701,6.48,2
2019-12-25,4388,8010701,9.72,3
2019-12-26,4388,8010701,3.24,1
2019-12-27,4388,8010701,9.72,3
2019-12-28,4388,8010701,6.48,2
2019-12-29,4388,8010701,9.72,3
2019-12-30,4388,8010701,12.96,4
2019-12-31,4388,8010701,19.44,6
