tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,2189,8011001,74.93,49
2017-01-02,2189,8011001,21.42,14
2017-01-03,2189,8011001,15.3,10
2017-01-04,2189,8011001,35.18,23
2017-01-05,2189,8011001,67.26,44
2017-01-06,2189,8011001,45.88,30
2017-01-07,2189,8011001,36.71,24
2017-01-08,2189,8011001,84.13,55
2017-01-09,2189,8011001,33.64,22
2017-01-10,2189,8011001,38.23,25
2017-01-11,2189,8011001,67.29,44
2017-01-12,2189,8011001,21.41,14
2017-01-13,2189,8011001,22.95,15
2017-01-14,2189,8011001,48.94,32
2017-01-15,2189,8011001,50.48,33
2017-01-16,2189,8011001,21.41,14
2017-01-17,2189,8011001,33.65,22
2017-01-18,2189,8011001,36.7,24
2017-01-19,2189,8011001,79.49,52
2017-01-20,2189,8011001,80.5,47
2017-01-21,2189,8011001,92.46,54
2017-01-22,2189,8011001,58.22,34
2017-01-23,2189,8011001,29.11,17
2017-01-24,2189,8011001,39.39,23
2017-01-25,2189,8011001,68.5,40
2017-01-26,2189,8011001,22.25,13
2017-01-27,2189,8011001,49.67,29
2017-01-28,2189,8011001,65.08,38
2017-01-29,2189,8011001,82.18,48
2017-01-30,2189,8011001,35.96,21
2017-01-31,2189,8011001,34.22,20
2017-02-01,2189,8011001,65.07,38
2017-02-02,2189,8011001,37.64,22
2017-02-03,2189,8011001,61.65,36
2017-02-04,2189,8011001,37.68,22
2017-02-05,2189,8011001,53.07,31
2017-02-06,2189,8011001,8.56,5
2017-02-07,2189,8011001,27.39,16
2017-02-08,2189,8011001,17.14,10
2017-02-09,2189,8011001,17.13,11
2017-02-10,2189,8011001,42.79,25
2017-02-11,2189,8011001,73.66,43
2017-02-12,2189,8011001,83.92,49
2017-02-13,2189,8011001,41.1,25
2017-02-14,2189,8011001,29.11,17
2017-02-15,2189,8011001,37.66,22
2017-02-16,2189,8011001,37.67,22
2017-02-17,2189,8011001,49.63,29
2017-02-18,2189,8011001,95.89,56
2017-02-19,2189,8011001,49.64,29
2017-02-20,2189,8011001,13.69,8
2017-02-21,2189,8011001,13.69,8
2017-02-22,2189,8011001,3.42,2
2017-02-23,2189,8011001,35.96,21
2017-02-24,2189,8011001,23.98,14
2017-02-25,2189,8011001,44.53,26
2017-02-26,2189,8011001,44.53,26
2017-02-27,2189,8011001,22.27,13
2017-02-28,2189,8011001,17.12,10
2017-03-01,2189,8011001,39.36,23
2017-03-02,2189,8011001,6.85,4
2017-03-03,2189,8011001,17.13,10
2017-03-04,2189,8011001,68.48,40
2017-03-05,2189,8011001,47.95,28
2017-03-06,2189,8011001,20.54,12
2017-03-07,2189,8011001,23.95,14
2017-03-08,2189,8011001,18.82,11
2017-03-09,2189,8011001,20.54,12
2017-03-10,2189,8011001,27.38,16
2017-03-11,2189,8011001,46.22,27
2017-03-12,2189,8011001,53.07,31
2017-03-13,2189,8011001,20.54,12
2017-03-14,2189,8011001,20.55,12
2017-03-15,2189,8011001,44.51,26
2017-03-16,2189,8011001,18.83,11
2017-03-17,2189,8011001,20.55,12
2017-03-18,2189,8011001,47.95,28
2017-03-19,2189,8011001,82.19,48
2017-03-20,2189,8011001,35.95,21
2017-03-21,2189,8011001,22.26,13
2017-03-22,2189,8011001,32.53,19
2017-03-23,2189,8011001,32.52,19
2017-03-24,2189,8011001,23.96,14
2017-03-25,2189,8011001,46.25,27
2017-03-26,2189,8011001,78.74,46
2017-03-27,2189,8011001,32.51,19
2017-03-28,2189,8011001,20.54,12
2017-03-29,2189,8011001,13.69,8
2017-03-30,2189,8011001,25.68,15
2017-03-31,2189,8011001,32.54,19
2017-04-01,2189,8011001,51.36,30
2017-04-02,2189,8011001,49.67,29
2017-04-03,2189,8011001,23.98,14
2017-04-04,2189,8011001,6.84,4
2017-04-05,2189,8011001,23.96,14
2017-04-06,2189,8011001,18.82,11
2017-04-07,2189,8011001,20.54,12
2017-04-08,2189,8011001,37.66,22
2017-04-09,2189,8011001,39.35,23
2017-04-10,2189,8011001,32.52,19
2017-04-11,2189,8011001,23.98,14
2017-04-12,2189,8011001,46.26,27
2017-04-13,2189,8011001,51.39,30
2017-04-14,2189,8011001,22.26,13
2017-04-15,2189,8011001,104.48,61
2017-04-16,2189,8011001,51.37,30
2017-04-17,2189,8011001,37.66,22
2017-04-18,2189,8011001,32.54,19
2017-04-19,2189,8011001,42.81,25
2017-04-20,2189,8011001,18.83,11
2017-04-21,2189,8011001,41.08,24
2017-04-22,2189,8011001,53.07,31
2017-04-23,2189,8011001,71.93,42
2017-04-24,2189,8011001,18.84,11
2017-04-25,2189,8011001,23.97,14
2017-04-26,2189,8011001,41.09,24
2017-04-27,2189,8011001,32.55,19
2017-04-28,2189,8011001,25.68,15
2017-04-29,2189,8011001,49.62,29
2017-04-30,2189,8011001,59.91,35
2017-05-01,2189,8011001,51.38,30
2017-05-02,2189,8011001,17.12,10
2017-05-03,2189,8011001,23.97,14
2017-05-04,2189,8011001,41.08,24
2017-05-05,2189,8011001,44.5,26
2017-05-06,2189,8011001,53.07,31
2017-05-07,2189,8011001,39.37,23
2017-05-08,2189,8011001,13.7,8
2017-05-09,2189,8011001,17.12,10
2017-05-10,2189,8011001,25.69,15
2017-05-11,2189,8011001,32.52,19
2017-05-12,2189,8011001,35.97,21
2017-05-13,2189,8011001,49.65,29
2017-05-14,2189,8011001,54.78,32
2017-05-15,2189,8011001,54.82,32
2017-05-16,2189,8011001,23.97,14
2017-05-17,2189,8011001,32.54,19
2017-05-18,2189,8011001,15.39,9
2017-05-19,2189,8011001,49.65,29
2017-05-20,2189,8011001,71.92,42
2017-05-21,2189,8011001,34.21,20
2017-05-22,2189,8011001,46.24,27
2017-05-23,2189,8011001,23.98,14
2017-05-24,2189,8011001,23.95,14
2017-05-25,2189,8011001,29.11,17
2017-05-26,2189,8011001,42.78,25
2017-05-27,2189,8011001,37.67,22
2017-05-28,2189,8011001,18.84,11
2017-05-29,2189,8011001,17.1,10
2017-05-30,2189,8011001,18.82,11
2017-05-31,2189,8011001,15.42,9
2017-06-01,2189,8011001,32.52,19
2017-06-02,2189,8011001,23.96,14
2017-06-03,2189,8011001,70.22,41
2017-06-04,2189,8011001,49.65,29
2017-06-05,2189,8011001,29.11,17
2017-06-06,2189,8011001,30.81,18
2017-06-07,2189,8011001,27.38,16
2017-06-08,2189,8011001,25.69,15
2017-06-09,2189,8011001,47.95,28
2017-06-10,2189,8011001,41.11,24
2017-06-11,2189,8011001,42.8,25
2017-06-12,2189,8011001,20.53,12
2017-06-13,2189,8011001,29.11,17
2017-06-14,2189,8011001,20.53,12
2017-06-15,2189,8011001,39.39,23
2017-06-16,2189,8011001,51.36,30
2017-06-17,2189,8011001,56.5,33
2017-06-18,2189,8011001,65.07,38
2017-06-19,2189,8011001,13.69,8
2017-06-20,2189,8011001,44.51,26
2017-06-21,2189,8011001,25.68,15
2017-06-22,2189,8011001,42.79,25
2017-06-23,2189,8011001,68.5,40
2017-06-24,2189,8011001,87.31,51
2017-06-25,2189,8011001,37.68,22
2017-06-26,2189,8011001,68.46,40
2017-06-27,2189,8011001,75.32,44
2017-06-28,2189,8011001,47.93,28
2017-06-29,2189,8011001,54.74,32
2017-06-30,2189,8011001,85.62,50
2017-07-01,2189,8011001,59.92,35
2017-07-02,2189,8011001,53.05,31
